formula_key,brand,formula_name,species,format,source_url,source_group,source_priority,match_score,still_missing,recommended_next_step
orijen-cat-kitten-cat-dry-gr-document,ORIJEN,Cat & Kitten,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.58,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-6-fish-cat-dry-gr-document,ORIJEN,6 Fish,cat,dry,https://kompa.gr/en/product/orijen-six-fish-cat-kitten/,kompa distributor,retailer,0.67,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-regional-red-cat-dry-gr-document,ORIJEN,Regional Red,cat,dry,https://kompa.gr/en/product/orijen-regional-red-cat-kitten/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-tundra-cat-dry-gr-document,ORIJEN,Tundra,cat,dry,https://kompa.gr/en/product/orijen-tundra/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
schesir-dry-small-maintenance-dog-dry-gr-document,Schesir,Dry Small Maintenance με κοτόπουλο,dog,dry,https://www.aigan.gr/product/schesir-small-dog-maintenance-chickenrice-2kg,aigan retailer,retailer,0.75,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-dry-medium-maintenance-chicken-dog-dry-gr-document,Schesir,Dry Medium Maintenance Chicken,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-12kg,aigan retailer,retailer,1.08,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-dry-kitten-cat-dry-gr-document,Schesir,Dry Kitten με κοτόπουλο,cat,dry,https://www.schesir.com/en/products/kitten-chicken-1-5kg,schesir official,official,0.58,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-cat-sterilized-light-cat-dry-gr-document,Schesir,Cat Sterilized & Light με κοτόπουλο,cat,dry,https://www.schesir.com/en/products/sterilized-chicken-1-5kg,schesir official,official,0.58,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-puppy-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods,Schesir,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,dog,wet,https://www.aigan.gr/product/schesir-small-dog-puppy-chicken-rice-2kg,aigan retailer,retailer,0.50,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
schesir-schesir-puppy-με-τονο-αλοη-σε-ζελε-dog-wet-gr-ods,Schesir,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,dog,wet,https://www.aigan.gr/product/schesir-small-dog-puppy-chicken-rice-2kg,aigan retailer,retailer,0.50,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
