brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Josera,JOSERA SENSICAT POULTRY,JOSERA SENSICAT POULTRY,cat,dry,adult,all,,sensitive_digestion;urinary,poultry;rice,"κρέας πουλερικών, καλαμπόκι ολικής άλεσης, ρύζι, απολιπωμένο κρέας βοδινού και χοίρου, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, αφυδατωμένο συκώτι πουλερικών, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",,,,,,,,,,33.0,18.0,2.0,6.7,,1.3,1.0,,0.6,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-sensicat-poultry-cat-dry,
Josera,JOSERA CULINESE POULTRY,JOSERA CULINESE POULTRY,cat,dry,adult,all,,urinary,skin_coat;poultry;rice;salmon,"κρέας πουλερικών, ρύζι, καλαμπόκι, απολιπωμένο κρέας βοδινού και χοίρου, λίπος πουλερικών, πούλπα ζαχαρότευτλων, σολομός 6,0%, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, αφυδατωμένο συκώτι πουλερικών, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",,,,,,,,0.6,6.0,31.0,13.5,2.5,7.5,,1.2,1.1,0.4,0.09,0.6,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-culinese-poultry-cat-dry,
Josera,JOSERA LEGER STERILISED POULTRY,JOSERA LEGER STERILISED POULTRY,cat,dry,adult,all,,urinary,skin_coat;sterilised;weight_control;poultry;rice;salmon,"κρέας πουλερικών, καλαμπόκι, απολιπωμένο κρέας βοδινού και χοίρου, ρύζι, κυτταρίνη, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, λίπος πουλερικών, αφυδατωμένο συκώτι πουλερικών, χλωριούχο κάλιο, φωσφορικό μονο-νάτριο",,,,,,,,0.3,3.0,35.0,10.0,6.0,7.0,,1.2,1.1,0.4,0.09,0.6,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-leger-sterilised-poultry-cat-dry,
Josera,JOSERA KITTEN GRAIN FREE POULTRY & SALMON OIL,JOSERA KITTEN GRAIN FREE POULTRY & SALMON OIL,cat,dry,kitten,all,,hypoallergenic;sensitive_digestion,grain_free;skin_coat;poultry;salmon,"αποξηραμένη πρωτεΐνη πουλερικών, λίπος πουλερικών, αποξηραμένη πατάτα, αλεύρι μπιζελιού, ίνες τεύτλων, αποξηραμένη ταπιόκα, πρωτεΐνη πατάτας, υδρολυμένη πρωτεΐνη ψαριού, υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών, λάδι σολομού, μαγιά, μεταλλικά στοιχεία, αλεσμένη ρίζα κιχωρίου (φυσική πηγή ινουλίνης)",,,,,,,,,,36.0,22.0,2.0,7.0,,1.35,1.05,0.4,0.55,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-kitten-grain-free-poultry-and-salmon-oil-cat-dry,
Josera,JOSERA SENIOR RENAL,JOSERA SENIOR RENAL,cat,dry,senior,all,,renal,poultry;rice,"λίπος πουλερικών, ρύζι, καλαμπόκι ολικής αλέσεως, πούλπα ζαχαρότευτλων, αποξηραμένη πατάτα, πρωτεΐνη πατάτας, υδρολυμένη πρωτεΐνη πουλερικών αφυδατωμένο συκώτι πουλερικών, ανθρακικό ασβέστιο, χλωριούχο κάλιο",,,,,,,,,,27.0,20.0,2.7,5.1,,0.6,0.45,,0.65,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: JOSERA SENIOR RENAL,josera-josera-senior-renal-cat-dry,
Josera,JOSERA JOSICAT CLASSIC STERILISED,JOSERA JOSICAT CLASSIC STERILISED,cat,dry,adult,all,,sensitive_digestion;urinary,skin_coat;sterilised;poultry;rice;salmon,"Ολόκληροι κόκκοι καλαμποκιού, αποξηρά τροφήμένη πρωτεΐνη πουλερικών, ρύζι, ίνες τεύτλων, λίπος, αποξηρά τροφήμένος σολομός, λίπος πουλερικών, υδρολυμένη πρωτεΐνη πουλερικών, υδρολυμένη ζωική πρωτεΐνη,  φυτικές ίνες, αποξηρά τροφήμένο συκώτι πουλερικών, ιχνοστοιχεία, ρίζα κιχωρίου (φυσική πηγή ινουλίνης)",,,,,,,,,,32.0,10.0,4.0,6.5,,1.5,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-josicat-classic-sterilised-cat-dry,
Josera,JOSERA DAILYCAT,JOSERA DAILYCAT,cat,dry,adult,all,,sensitive_digestion,grain_free;skin_coat;poultry,"αφυδατωμένο κρέας πουλερικών 39,0%, γλυκοπατάτα, αλεύρι από μπιζέλια, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, αφυδατωμένο συκώτι πουλερικών, βότανα, φρούτα, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",,,,,,,,,,33.0,16.0,2.2,7.0,,1.25,0.95,0.45,0.1,0.6,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-dailycat-cat-dry,
Josera,JOSERA DAILYCAT GRAIN FREE POULTRY,JOSERA DAILYCAT GRAIN FREE POULTRY,cat,dry,adult,all,,sensitive_digestion,grain_free;skin_coat;poultry,"αφυδατωμένο κρέας πουλερικών 39,0%, γλυκοπατάτα, αλεύρι από μπιζέλια, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, αφυδατωμένο συκώτι πουλερικών, βότανα, φρούτα, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο",,,,,,,,,,33.0,16.0,2.2,7.0,,1.25,0.95,0.45,0.1,0.6,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-dailycat-grain-free-poultry-cat-dry,
Josera,JOSERA KITTEN ΜΕ ΛΑΔΙ ΣΟΛΟΜΟΥ,JOSERA KITTEN ΜΕ ΛΑΔΙ ΣΟΛΟΜΟΥ,cat,dry,kitten,all,,hypoallergenic;sensitive_digestion,grain_free;skin_coat;poultry;rice;salmon,"αποξηραμένη πρωτεΐνη πουλερικών, ρύζι, λίπος πουλερικών, αποξηραμένη πατάτα, ίνες τεύτλων, αποξηραμένη πρωτεΐνη σολομού, υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών, λάδι σολομού, μεταλλικά στοιχεία,",,,,,,,,,,35.0,22.0,2.0,7.0,,1.4,1.1,,0.6,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-kitten-με-λαδι-σολομου-cat-dry,
Josera,JOSERA MARINESE HYPOALLERGENIC GRAIN FREE SALMON monoprotein,JOSERA MARINESE HYPOALLERGENIC GRAIN FREE SALMON monoprotein,cat,dry,adult,all,,hypoallergenic;sensitive_digestion,grain_free;skin_coat;poultry;salmon,"αφυδατωμένος σολομός, αφυδατωμένες πατάτες, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πατάτας, πρωτεΐνη ψαριού υδρολυμένη, χλωριούχο νάτριο, χλωριούχο κάλιο",,,,,,,,,,30.0,15.0,2.2,6.9,,1.2,1.0,,0.65,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; Auto-extracted from uploaded document; verify before import.,josera-josera-marinese-hypoallergenic-grain-free-salmon-monoprotein-cat-dry,
