batch_number,brand,rows_to_review,readiness_status,avg_core_score,label_kcal_rows,estimated_kcal_rows,admin_brand_filter,admin_row_filter,admin_source_filter,admin_quality_filter,recommended_action
1,Brit,49,ready_for_controlled_import,100,49,0,Brit,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
2,N&D,36,ready_for_controlled_import,100,36,0,N&D,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
3,Club 4 Paws,18,ready_for_controlled_import,100,18,0,Club 4 Paws,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
4,Farmina,12,ready_for_controlled_import,100,12,0,Farmina,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
5,Harper & Bone,11,ready_for_controlled_import,100,11,0,Harper & Bone,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
6,Acana,7,ready_for_controlled_import,100,7,0,Acana,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
7,Hi,6,ready_for_controlled_import,100,6,0,Hi,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
8,Carnilove,10,ready_for_controlled_import,99,10,0,Carnilove,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
9,Naturea,11,ready_for_controlled_import,98,11,0,Naturea,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
10,Orijen,8,ready_for_controlled_import,98,8,0,Orijen,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
11,Pro-Nutrition (Flatazor),6,ready_for_controlled_import,98,6,0,Pro-Nutrition (Flatazor),importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
12,Ambrosia,11,ready_for_controlled_import,96,6,5,Ambrosia,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
13,Ownat,9,ready_for_controlled_import,96,9,0,Ownat,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
14,Matisse,5,ready_for_controlled_import,95,5,0,Matisse,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
15,Cennamo,13,ready_for_controlled_import,94,11,2,Cennamo,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
16,Gemon,10,ready_for_controlled_import,93,7,3,Gemon,importable,retailer,needs_review,"Load Best Candidates, filter this brand, run Check Existing, export selected review CSV, then commit selected rows if duplicates look safe."
