brand,total_rows,recommendable_rows,official_rows,retailer_rows,label_kcal_rows,estimated_kcal_rows,missing_kcal_rows,ash_rows,missing_ash_rows,calcium_phosphorus_rows,missing_core_mineral_rows,epa_dha_rows,title_risk_rows,possible_duplicate_identity_rows,avg_core_score,readiness_status,recommended_next_action
Brit,49,0,0,49,49,0,0,49,0,49,0,23,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
N&D,36,0,0,36,36,0,0,36,0,36,0,36,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
Club 4 Paws,18,0,0,18,18,0,0,18,0,18,0,0,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
Farmina,12,0,0,12,12,0,0,12,0,12,0,11,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
Harper & Bone,11,0,0,11,11,0,0,11,0,11,0,6,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
Acana,7,0,0,7,7,0,0,7,0,7,0,7,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
Canagan,6,0,0,6,0,6,0,6,0,6,0,0,0,0,100,review_before_import,"Export selected review CSV, spot-check titles and kcal/ash provenance, then import a small batch."
Hi,6,0,0,6,6,0,0,6,0,6,0,1,0,0,100,ready_for_controlled_import,"Filter this brand in admin preview, run Check Existing, then import selected rows."
Calibra,3,0,0,3,3,0,0,3,0,3,0,0,0,0,100,needs_data_cleanup,Find official/PDF source or stronger retailer evidence before broad import.
Optima Nova,3,0,0,3,0,3,0,3,0,3,0,0,0,0,100,needs_data_cleanup,Find official/PDF source or stronger retailer evidence before broad import.
Nature,2,0,0,2,0,2,0,2,0,2,0,0,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
Profine,2,0,0,2,2,0,0,2,0,2,0,0,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
Vet Expert,2,0,0,2,1,1,0,2,0,2,0,0,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
ACANA,1,0,0,1,1,0,0,1,0,1,0,1,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
Akvatera,1,0,0,1,0,1,0,1,0,1,0,0,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
Banters,1,0,0,1,0,1,0,1,0,1,0,0,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
Prince,1,0,0,1,0,1,0,1,0,1,0,0,0,0,100,small_batch_review,Review manually; batch is small enough to import only after source/title spot-check.
Happy Dog,18,0,0,18,0,18,0,18,0,18,0,0,0,0,99,review_before_import,"Export selected review CSV, spot-check titles and kcal/ash provenance, then import a small batch."
