priority,brand,name,species,status,missing_fields,evidence_needed,request_text,source_url,notes
"high","Royal Canin","Maxi Adult 5+","dog","needs_review","kcal_per_100g|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent","official_pdf_or_label_photo","Please provide official labelled/as-fed analytical values for Royal Canin Maxi Adult 5+ (dog, UK). Missing fields: kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.royalcanin.com/uk/dogs/products/retail-products/maxi-adult-5%2B-3008.","https://www.royalcanin.com/uk/dogs/products/retail-products/maxi-adult-5%2B-3008","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=15kg; note=Official Royal Canin UK page lacks kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
"high","Royal Canin","Mini Adult","dog","needs_review","calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent","official_pdf_or_label_photo","Please provide official labelled/as-fed analytical values for Royal Canin Mini Adult (dog, UK). Missing fields: calcium_percent, phosphorus_percent, sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.royalcanin.com/uk/dogs/products/retail-products/mini-adult-3001.","https://www.royalcanin.com/uk/dogs/products/retail-products/mini-adult-3001","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=2kg|4kg|8kg; note=Official Royal Canin UK page lacks calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
"high","Royal Canin","Mini Digestive Care","dog","needs_review","kcal_per_100g|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent","official_pdf_or_label_photo","Please provide official labelled/as-fed analytical values for Royal Canin Mini Digestive Care (dog, UK). Missing fields: kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.royalcanin.com/uk/dogs/products/retail-products/digestive-care-mini-2447.","https://www.royalcanin.com/uk/dogs/products/retail-products/digestive-care-mini-2447","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=3kg|8kg; note=Official Royal Canin UK page lacks kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
"medium","Ambrosia","Beef & Fresh Salmon","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Beef & Fresh Salmon (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/beef-fresh-salmon/.","https://ambrosiapetfood.com/el/products/beef-fresh-salmon/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Chicken & Fresh Fish","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Chicken & Fresh Fish (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/chicken-fresh-fish/.","https://ambrosiapetfood.com/el/products/chicken-fresh-fish/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Chicken & Fresh Salmon","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Chicken & Fresh Salmon (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/chicken-fresh-salmon/.","https://ambrosiapetfood.com/el/products/chicken-fresh-salmon/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Chicken & Veggies","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Chicken & Veggies (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/chicken-veggies/.","https://ambrosiapetfood.com/el/products/chicken-veggies/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Duck","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Duck (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-duck/.","https://ambrosiapetfood.com/el/products/fresh-duck/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Lamb","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Lamb (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-lamb/.","https://ambrosiapetfood.com/el/products/fresh-lamb/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Salmon & Chicken","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Salmon & Chicken (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/.","https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
