source_sheet,source_code,source_description,eshop_title,source_brand,decision,reason,recommended_action,source_document
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,007024,ΚΛΕΙΣΤΟ ΠΑΡΚΟ DOUBLE DOOR CAGE 93x57.5x65cm,Κλειστό Πάρκο Crate με Διπλή Πόρτα 93x57.5x65εκ.,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,007021,ΚΛΕΙΣΤΟ ΠΑΡΚΟ DOUBLE DOOR CAGE 106x63x73 cm,Κλειστό Πάρκο Crate με Διπλή Πόρτα 106x63x73εκ.,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,007023,ΚΛΕΙΣΤΟ ΠΑΡΚΟ DOUBLE DOOR CAGE 78x49x56.5 cm,Κλειστό Πάρκο Crate με Διπλή Πόρτα 78x49x56.5εκ.,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,012516,ΣΠΙΤΙ CAMELOT ECOLINE ΣΚΥΛΟΥ/ΓΑΤΑΣ ΜΙΝΙ 60x50x40cm,Pet Camelot Ecoline Σπιτάκι για κατοικίδια 60x50x40εκ.,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,004139,ΠΕΡΙΛΑΙΜΙΟ ΑΝΑΤΟ ΕΠΕΝΔ PET CAMELOT 25Χ65,,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,019209,WOOFMODA ΜΠΛΟΥΖΑ Μ931-1101,,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,019211,WOOFMODA ΜΠΛΟΥΖΑ Μ931-1001,,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,008282,PERFECT CARE PET WIPES ALMOND MILK 80pcs,,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,020355,ΜΠΡΕΛΟΚ ΚΕΝΤΗΤΟ PET,,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
ΑΞΕΣΟΥΑΡ ΣΚΥΛΟΥ ΓΑΤΑΣ,012508,ΣΚΥΛΟΣΠΙΤΟ DOG KENNEL KEN 4-ΣΠΙΤΙ ΣΚΥΛΟΥ,,,exclude_non_food,Accessory rows are not pet food nutrition records.,Do not import into Food V2; keep only as source audit evidence.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx
