recommendation_status,risk_level,brand,display_name,species,format,life_stage,data_quality_status,source_priority,formula_key,gap_priority,gap_score,missing_blockers,estimated_fields_to_replace,health_context,recommendation_reason,required_before_enable
do_not_enable,high,Amanova,Amanova Adult Cat Turkey Delight 1.5kg Grain Free,cat,dry,adult,needs_review,retailer,amanova-adult-cat-turkey-delight-grain-free-cat-dry-gr-gatoskilo,high,74,calcium_percent,,weight_control,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Amanova,Amanova Dog Puppy Digestive Divine Rabbit 2kg Grain Free,dog,dry,puppy,needs_review,retailer,amanova-dog-puppy-digestive-divine-rabbit-grain-free-dog-dry-gr-gatoskilo,high,90,calcium_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Amanova,Amanova Kitten Exquisite Chicken 1.5kg Low Grain,cat,dry,kitten,needs_review,retailer,amanova-kitten-exquisite-chicken-low-grain-cat-dry-gr-gatoskilo,high,90,calcium_percent,,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Ambrosia,"Ambrosia Mediterranean Diet Grain Free Puppy Fresh Sardine & Herring 1,5kg",dog,dry,puppy,needs_review,retailer,ambrosia-mediterranean-diet-grain-free-puppy-fresh-sardine-herring-dog-dry-gr-retailer,high,140,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Brekkies,Brekkies Cat Adult Special Care Urinary 20kg,cat,dry,adult,needs_review,retailer,brekkies-cat-adult-special-care-urinary-cat-dry-gr-gatoskilo,high,132,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,urinary,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Dr. Clauder,Dr Clauder's High Premium Cat Sterilised/Senior/Light 10kg,cat,dry,senior,needs_review,retailer,dr-clauder-dr-clauder-s-high-premium-cat-sterilised-senior-light-cat-dry-gr-gatoskilo,high,122,calcium_percent,kcal_per_100g|moisture_percent,weight_control|senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Fish4Dogs,Fish4dogs Finest Salmon Senior Small 6kg,dog,dry,senior,needs_review,retailer,fish4dogs-finest-salmon-senior-small-dog-dry-gr-gatoskilo,high,164,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Happy Cat,Happy Cat Minkas Junior Care 1.5kg,cat,dry,kitten,needs_review,retailer,happy-cat-minkas-junior-care-cat-dry-gr-gatoskilo,high,110,phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Fiesta Plus 900gr,dog,dry,senior,needs_review,retailer,josera-fiesta-plus-dog-dry-gr-gatoskilo,high,138,calcium_percent,kcal_per_100g|moisture_percent,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Kitten 2kg,cat,dry,kitten,needs_review,retailer,josera-kitten-cat-dry-gr-gatoskilo,high,118,calcium_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
