priority,formula_key,brand,formula_name,species,gap_group,missing_fields,evidence_path,recommended_panel,recommended_action,status,notes
high,royal-canin-digestive-care-cat-dry-gr-photo,Royal Canin,Digestive Care,cat,core_nutrition,kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-digestive-care-cat-dry-gr-photo,Royal Canin,Digestive Care,cat,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-hair-skin-care-cat-dry-gr-photo,Royal Canin,Hair & Skin Care,cat,core_nutrition,kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-hair-skin-care-cat-dry-gr-photo,Royal Canin,Hair & Skin Care,cat,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-hairball-care-cat-dry-gr-photo,Royal Canin,Hairball Care,cat,core_nutrition,kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hairball care cat,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-hairball-care-cat-dry-gr-photo,Royal Canin,Hairball Care,cat,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hairball care cat,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-savour-exigent-cat-dry-gr-photo,Royal Canin,Savour Exigent,cat,core_nutrition,kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult savour exigent cat,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-savour-exigent-cat-dry-gr-photo,Royal Canin,Savour Exigent,cat,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult savour exigent cat,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-urinary-care-cat-dry-gr-photo,Royal Canin,Urinary Care,cat,core_nutrition,kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult urinary care cat,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-urinary-care-cat-dry-gr-photo,Royal Canin,Urinary Care,cat,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult urinary care cat,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
