brand,species,formula_name_guess,source_group,product_url,product_title,recommended_action,notes
ACANA,cat,ADULT DOG,kompa distributor,https://kompa.gr/en/product/acana-adult-dog/,ADULT DOG,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,ADULT LARGE BREED,kompa distributor,https://kompa.gr/en/product/acana-adult-large-breed/,ADULT LARGE BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,ADULT SMALL BREED,kompa distributor,https://kompa.gr/en/product/acana-adult-small-breed/,ADULT SMALL BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,RED MEAT,kompa distributor,https://kompa.gr/en/product/acana-classic-red-classics/,RED MEAT,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,GRASS-FED LAMB,kompa distributor,https://kompa.gr/en/product/acana-grass-fed-lamb-singles/,GRASS-FED LAMB,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,GRASSLANDS,kompa distributor,https://kompa.gr/en/product/acana-grasslands-regionals/,GRASSLANDS,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PUPPY,kompa distributor,https://kompa.gr/en/product/acana-heritage-puppy-junior/,PUPPY,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,LIGHT & FIT,kompa distributor,https://kompa.gr/en/product/acana-light-fit/,LIGHT & FIT,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PACIFICA,kompa distributor,https://kompa.gr/en/product/acana-pacifica-regionals/,PACIFICA,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PRAIRIE POULTRY,kompa distributor,https://kompa.gr/en/product/acana-prairie-poultry-classics/,PRAIRIE POULTRY,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PUPPY LARGE BREED,kompa distributor,https://kompa.gr/en/product/acana-puppy-large-breed/,PUPPY LARGE BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PUPPY SMALL BREED,kompa distributor,https://kompa.gr/en/product/acana-puppy-small-breed/,PUPPY SMALL BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,RANCHLANDS,kompa distributor,https://kompa.gr/en/product/acana-ranchlands-regionals/,RANCHLANDS,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,SENIOR,kompa distributor,https://kompa.gr/en/product/acana-senior/,SENIOR,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
