priority_rank,brand,priority_score,recommended_phase,total_rows,customer_impact_score,customer_title_risk_score,duplicate_customer_risk_score,nutrition_confidence_gap_score,readiness_status,title_issue_rows,title_issue_identities,duplicate_risk_groups,missing_calcium_phosphorus_rows,missing_ash_rows,estimated_kcal_rows,missing_kcal_rows,official_rows,retailer_rows,next_cleanup_file,next_cleanup_step,recommended_action
1,Ambrosia,97,title_cleanup,8,82,82,7,11,review_before_import,89,28,0,1,1,5,0,0,8,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
2,Belcando,89,title_cleanup,20,77,63,8,17,review_before_import,57,26,0,0,0,20,0,0,20,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
3,Brit,80,title_cleanup,46,77,47,10,8,ready_for_controlled_import,39,19,0,0,0,0,0,0,46,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
4,Royal Canin,79,dedupe_before_import,29,76,20,10,30,review_before_import,12,6,1,21,0,23,0,0,29,data/review/food_v2_duplicate_merge_risk_audit.csv,"Filter duplicate audit by brand/canonical identity, choose one customer-facing survivor, then keep other rows as evidence/backfill only.","Review duplicate groups first, pick one canonical survivor per formula, then import."
5,Hills,60,title_cleanup,37,59,24,9,21,review_before_import,16,8,0,0,5,25,0,0,37,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
6,Josera,59,dedupe_before_import,54,56,9,12,11,ready_for_controlled_import,1,1,1,15,0,5,0,49,5,data/review/food_v2_duplicate_merge_risk_audit.csv,"Filter duplicate audit by brand/canonical identity, choose one customer-facing survivor, then keep other rows as evidence/backfill only.","Review duplicate groups first, pick one canonical survivor per formula, then import."
7,Royal Canin Veterinary Diet,54,title_cleanup,5,50,16,6,12,review_before_import,8,4,0,4,0,5,0,0,5,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
8,Hill's Prescription Diet,52,title_cleanup,8,46,24,7,12,review_before_import,14,9,0,0,0,8,0,0,8,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
9,Happy Dog,39,nutrient_backfill,11,39,8,7,13,review_before_import,0,0,0,0,0,11,0,0,11,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
10,Farmina,35,controlled_import_ready,7,37,8,7,8,ready_for_controlled_import,0,0,0,0,0,0,0,0,7,data/review/food_v2_brand_cleanup_queue.csv,"Run admin preview, Check Existing, import a selected controlled batch, then rerun this queue.","Use admin preview, Check Existing, then import selected rows."
