brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Purina Pro Plan,Small & Mini Puppy Sensitive Skin σολομός,Purina Pro Plan Small & Mini Puppy Sensitive Skin σολομός,dog,dry,puppy,small,,allergy,dog;dry;puppy;small_breed;sensitive;skin_coat;salmon;fish;rice;corn,"Σολομός* (18%), Αφυδατωμένη Πρωτεΐνη σολομού*, Ρύζι* (16%) Ζωικό Λίπος, Άμυλο αραβοσίτου, Άλευρο Γλουτένης αραβοσίτου*, Άλευρο σόγιας*, Αφυδατωμένη Πρωτεΐνη σόγιας*, Αποξηραμένο αυγό*, Αποξηραμένος πολτός τεύτλου*, Αραβόσιτος, Αποξηραμένη ρίζα Σικορέ, Υδρολυμένες πρωτεΐνες, Ανόργανα άλατα, Σογιέλαιο, Ιχθυέλαιο.","[""Σολομός* (18%)"",""Αφυδατωμένη Πρωτεΐνη σολομού*"",""Ρύζι* (16%) Ζωικό Λίπος"",""Άμυλο αραβοσίτου"",""Άλευρο Γλουτένης αραβοσίτου*"",""Άλευρο σόγιας*"",""Αφυδατωμένη Πρωτεΐνη σόγιας*"",""Αποξηραμένο αυγό*"",""Αποξηραμένος πολτός τεύτλου*"",""Αραβόσιτος"",""Αποξηραμένη ρίζα Σικορέ"",""Υδρολυμένες πρωτεΐνες"",""Ανόργανα άλατα"",""Σογιέλαιο"",""Ιχθυέλαιο.""]",Σολομός* (18%);Αφυδατωμένη Πρωτεΐνη σολομού*;Αποξηραμένο αυγό*;Ιχθυέλαιο.,Ρύζι* (16%) Ζωικό Λίπος;Άλευρο σόγιας*;Αφυδατωμένη Πρωτεΐνη σόγιας*;Αραβόσιτος,Ρύζι* (16%) Ζωικό Λίπος;Σογιέλαιο;Ιχθυέλαιο.,Αποξηραμένος πολτός τεύτλου*;Αποξηραμένη ρίζα Σικορέ,,,,,32,21,2,7,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-small-mini-puppy-sensitive-skin-dog-dry-gr-document,
Purina Pro Plan,Adult Large Robust κοτOπουλο & ρυζι,Purina Pro Plan Adult Large Robust κοτOπουλο & ρυζι,dog,dry,adult,large,,,dog;dry;large_breed;chicken;rice;corn;wheat,"κοτόπουλο (19%), σιτάρι, αποξηραμένη πρωτεΐνη πουλερικών, αραβόσιτος, ρύζι (7%), ίνες σίτου, υδρολυμένες πρωτεΐνες, αποξηραμένη πούλπα ζαχαρότευτλων, άλευρο σόγιας, άλευρο γλουτένης σίτου, ζωικό λίπος, άλευρο γλουτένης αραβοσίτου, μέταλλα, αποξηραμένο αυγό, ιχθυέλαιο.","[""κοτόπουλο (19%)"",""σιτάρι"",""αποξηραμένη πρωτεΐνη πουλερικών"",""αραβόσιτος"",""ρύζι (7%)"",""ίνες σίτου"",""υδρολυμένες πρωτεΐνες"",""αποξηραμένη πούλπα ζαχαρότευτλων"",""άλευρο σόγιας"",""άλευρο γλουτένης σίτου"",""ζωικό λίπος"",""άλευρο γλουτένης αραβοσίτου"",""μέταλλα"",""αποξηραμένο αυγό"",""ιχθυέλαιο.""]",κοτόπουλο (19%);αποξηραμένη πρωτεΐνη πουλερικών;αποξηραμένο αυγό;ιχθυέλαιο.,σιτάρι;αραβόσιτος;ρύζι (7%);άλευρο σόγιας,ζωικό λίπος;ιχθυέλαιο.,ίνες σίτου;αποξηραμένη πούλπα ζαχαρότευτλων,,,,,26,12,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-adult-large-robust-o-dog-dry-gr-document,
Purina Pro Plan,Adult Digestive αρνι & ρυζι,Purina Pro Plan Adult Digestive αρνι & ρυζι,dog,dry,adult,medium,,gi_support,dog;dry;medium_breed;sensitive_digestion;lamb;rice;corn,"Αρνί (19%), Αραβόσιτος, Αφυδατωμένη πρωτεΐνη πουλερικών, Σιμιγδάλι αραβοσίτου, Ρύζι (8%), Ζωικό λίπος, Αποξηραμένος πολτός τεύτλου, Άλευρο σόγιας, Υδρολυμένες πρωτεΐνες, Άλευρο γλουτένης αραβοσίτου, Αποξηραμένο αυγό, Ανόργανα άλατα, Ιχθυέλαιο.","[""Αρνί (19%)"",""Αραβόσιτος"",""Αφυδατωμένη πρωτεΐνη πουλερικών"",""Σιμιγδάλι αραβοσίτου"",""Ρύζι (8%)"",""Ζωικό λίπος"",""Αποξηραμένος πολτός τεύτλου"",""Άλευρο σόγιας"",""Υδρολυμένες πρωτεΐνες"",""Άλευρο γλουτένης αραβοσίτου"",""Αποξηραμένο αυγό"",""Ανόργανα άλατα"",""Ιχθυέλαιο.""]",Αρνί (19%);Αφυδατωμένη πρωτεΐνη πουλερικών;Αποξηραμένο αυγό;Ιχθυέλαιο.,Αραβόσιτος;Ρύζι (8%);Άλευρο σόγιας,Ζωικό λίπος;Ιχθυέλαιο.,Αποξηραμένος πολτός τεύτλου,,,,,26,16,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=1; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-adult-sensitive-digestion-dog-dry-gr-document,
Purina Pro Plan,Adult Large Athletic,Purina Pro Plan Adult Large Athletic,dog,dry,adult,large,,,dog;dry;large_breed;chicken;rice;corn;wheat,"κοτόπουλο (19%), σιτάρι, αποξηραμένη πρωτεΐνη πουλερικών, αραβόσιτος, ρύζι (7%), ίνες σίτου, υδρολυμένες πρωτεΐνες, αποξηραμένη πούλπα ζαχαρότευτλων, άλευρο σόγιας, άλευρο γλουτένης σίτου, ζωικό λίπος, άλευρο γλουτένης αραβοσίτου, μέταλλα, αποξηραμένο αυγό, ιχθυέλαιο.","[""κοτόπουλο (19%)"",""σιτάρι"",""αποξηραμένη πρωτεΐνη πουλερικών"",""αραβόσιτος"",""ρύζι (7%)"",""ίνες σίτου"",""υδρολυμένες πρωτεΐνες"",""αποξηραμένη πούλπα ζαχαρότευτλων"",""άλευρο σόγιας"",""άλευρο γλουτένης σίτου"",""ζωικό λίπος"",""άλευρο γλουτένης αραβοσίτου"",""μέταλλα"",""αποξηραμένο αυγό"",""ιχθυέλαιο.""]",κοτόπουλο (19%);αποξηραμένη πρωτεΐνη πουλερικών;αποξηραμένο αυγό;ιχθυέλαιο.,σιτάρι;αραβόσιτος;ρύζι (7%);άλευρο σόγιας,ζωικό λίπος;ιχθυέλαιο.,ίνες σίτου;αποξηραμένη πούλπα ζαχαρότευτλων,,,,,26,12,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-adult-large-athletic-dog-dry-gr-document,
Purina Pro Plan,Adult Large Robust,Purina Pro Plan Adult Large Robust,dog,dry,adult,large,,,dog;dry;large_breed;chicken;rice;corn;wheat,"κοτόπουλο (19%), σιτάρι, αποξηραμένη πρωτεΐνη πουλερικών, αραβόσιτος, ρύζι (7%), ίνες σίτου, υδρολυμένες πρωτεΐνες, αποξηραμένη πούλπα ζαχαρότευτλων, άλευρο σόγιας, άλευρο γλουτένης σίτου, ζωικό λίπος, άλευρο γλουτένης αραβοσίτου, μέταλλα, αποξηραμένο αυγό, ιχθυέλαιο.","[""κοτόπουλο (19%)"",""σιτάρι"",""αποξηραμένη πρωτεΐνη πουλερικών"",""αραβόσιτος"",""ρύζι (7%)"",""ίνες σίτου"",""υδρολυμένες πρωτεΐνες"",""αποξηραμένη πούλπα ζαχαρότευτλων"",""άλευρο σόγιας"",""άλευρο γλουτένης σίτου"",""ζωικό λίπος"",""άλευρο γλουτένης αραβοσίτου"",""μέταλλα"",""αποξηραμένο αυγό"",""ιχθυέλαιο.""]",κοτόπουλο (19%);αποξηραμένη πρωτεΐνη πουλερικών;αποξηραμένο αυγό;ιχθυέλαιο.,σιτάρι;αραβόσιτος;ρύζι (7%);άλευρο σόγιας,ζωικό λίπος;ιχθυέλαιο.,ίνες σίτου;αποξηραμένη πούλπα ζαχαρότευτλων,,,,,26,12,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-adult-large-robust-dog-dry-gr-document,
Purina Pro Plan,Adult Small & Mini Salmon,Purina Pro Plan Adult Small & Mini Salmon,dog,dry,adult,small,,allergy,dog;dry;small_breed;skin_coat;salmon;fish;rice;corn,"Σολομός (17%), Ρύζι (14%), Αφυδατωμένη Πρωτεΐνη σολομού, Άλευρο Γλουτένης αραβοσίτου, Ζωικό Λίπος, Αραβόσιτος, Άλευρο σόγιας, Σιμιγδάλι αραβοσίτου, Αποξηραμένος πολτός τεύτλου, Άμυλο αραβοσίτου, Υδρολυμένες πρωτεΐνες, Κυτταρίνη, Ανόργανα άλατα, Αποξηραμένο αυγό, Σογιέλαιο, Ιχθυέλαιο.","[""Σολομός (17%)"",""Ρύζι (14%)"",""Αφυδατωμένη Πρωτεΐνη σολομού"",""Άλευρο Γλουτένης αραβοσίτου"",""Ζωικό Λίπος"",""Αραβόσιτος"",""Άλευρο σόγιας"",""Σιμιγδάλι αραβοσίτου"",""Αποξηραμένος πολτός τεύτλου"",""Άμυλο αραβοσίτου"",""Υδρολυμένες πρωτεΐνες"",""Κυτταρίνη"",""Ανόργανα άλατα"",""Αποξηραμένο αυγό"",""Σογιέλαιο"",""Ιχθυέλαιο.""]",Σολομός (17%);Αφυδατωμένη Πρωτεΐνη σολομού;Αποξηραμένο αυγό;Ιχθυέλαιο.,Ρύζι (14%);Αραβόσιτος;Άλευρο σόγιας,Ζωικό Λίπος;Σογιέλαιο;Ιχθυέλαιο.,Αποξηραμένος πολτός τεύτλου,,,,,30,18,2.5,,8,1.28,0.94,,,,1,2.2,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-adult-small-mini-salmon-dog-dry-gr-document,
Purina Pro Plan,All Size Adult Sterilised / Light κοτοπουλο,Purina Pro Plan All Size Adult Sterilised / Light κοτοπουλο,dog,dry,adult,all,,obesity,dog;dry;weight_control;chicken;rice;corn;wheat,"Κοτόπουλο (15%), Σιτάρι, Αφυδατωμένη πρωτεΐνη πουλερικών, Αραβόσιτος, Ρύζι (9%), Αποξηραμένος πολτός τεύτλου, Άλευρο σόγιας, Υδρολυμένες πρωτεΐνες, Άλευρο γλουτένης αραβοσίτου, Σιμιγδάλι αραβοσίτου, Άλευρο γλουτένης σίτου, Ανόργανα άλατα, Ιχθυέλαιο, Ζωικό λίπος","[""Κοτόπουλο (15%)"",""Σιτάρι"",""Αφυδατωμένη πρωτεΐνη πουλερικών"",""Αραβόσιτος"",""Ρύζι (9%)"",""Αποξηραμένος πολτός τεύτλου"",""Άλευρο σόγιας"",""Υδρολυμένες πρωτεΐνες"",""Άλευρο γλουτένης αραβοσίτου"",""Σιμιγδάλι αραβοσίτου"",""Άλευρο γλουτένης σίτου"",""Ανόργανα άλατα"",""Ιχθυέλαιο"",""Ζωικό λίπος""]",Κοτόπουλο (15%);Αφυδατωμένη πρωτεΐνη πουλερικών;Ιχθυέλαιο,Σιτάρι;Αραβόσιτος;Ρύζι (9%);Άλευρο σόγιας,Ιχθυέλαιο;Ζωικό λίπος,Αποξηραμένος πολτός τεύτλου,,,,,27,9,3,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-all-size-adult-sterilised-light-dog-dry-gr-document,
Purina Pro Plan,Large Athletic Adult Chicken +,Purina Pro Plan Large Athletic Adult Chicken +,dog,dry,adult,large,,,dog;dry;large_breed;chicken;rice;corn;wheat,"κοτόπουλο (19%), σιτάρι, αποξηραμένη πρωτεΐνη πουλερικών, αραβόσιτος, ρύζι (7%), ίνες σίτου, υδρολυμένες πρωτεΐνες, αποξηραμένη πούλπα ζαχαρότευτλων, άλευρο σόγιας, άλευρο γλουτένης σίτου, ζωικό λίπος, άλευρο γλουτένης αραβοσίτου, μέταλλα, αποξηραμένο αυγό, ιχθυέλαιο.","[""κοτόπουλο (19%)"",""σιτάρι"",""αποξηραμένη πρωτεΐνη πουλερικών"",""αραβόσιτος"",""ρύζι (7%)"",""ίνες σίτου"",""υδρολυμένες πρωτεΐνες"",""αποξηραμένη πούλπα ζαχαρότευτλων"",""άλευρο σόγιας"",""άλευρο γλουτένης σίτου"",""ζωικό λίπος"",""άλευρο γλουτένης αραβοσίτου"",""μέταλλα"",""αποξηραμένο αυγό"",""ιχθυέλαιο.""]",κοτόπουλο (19%);αποξηραμένη πρωτεΐνη πουλερικών;αποξηραμένο αυγό;ιχθυέλαιο.,σιτάρι;αραβόσιτος;ρύζι (7%);άλευρο σόγιας,ζωικό λίπος;ιχθυέλαιο.,ίνες σίτου;αποξηραμένη πούλπα ζαχαρότευτλων,,,,,26,12,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-large-athletic-adult-chicken-dog-dry-gr-document,
Purina Pro Plan,Large Athletic Adult Sensitive Dig. αρνί,Purina Pro Plan Large Athletic Adult Sensitive Dig. αρνί,dog,dry,adult,large,,gi_support,dog;dry;medium_breed;large_breed;sensitive;sensitive_digestion;lamb;rice;corn,"Αρνί (19%), Αραβόσιτος, Αφυδατωμένη πρωτεΐνη πουλερικών, Σιμιγδάλι αραβοσίτου, Ρύζι (8%), Ζωικό λίπος, Αποξηραμένος πολτός τεύτλου, Άλευρο σόγιας, Υδρολυμένες πρωτεΐνες, Άλευρο γλουτένης αραβοσίτου, Αποξηραμένο αυγό, Ανόργανα άλατα, Ιχθυέλαιο.","[""Αρνί (19%)"",""Αραβόσιτος"",""Αφυδατωμένη πρωτεΐνη πουλερικών"",""Σιμιγδάλι αραβοσίτου"",""Ρύζι (8%)"",""Ζωικό λίπος"",""Αποξηραμένος πολτός τεύτλου"",""Άλευρο σόγιας"",""Υδρολυμένες πρωτεΐνες"",""Άλευρο γλουτένης αραβοσίτου"",""Αποξηραμένο αυγό"",""Ανόργανα άλατα"",""Ιχθυέλαιο.""]",Αρνί (19%);Αφυδατωμένη πρωτεΐνη πουλερικών;Αποξηραμένο αυγό;Ιχθυέλαιο.,Αραβόσιτος;Ρύζι (8%);Άλευρο σόγιας,Ζωικό λίπος;Ιχθυέλαιο.,Αποξηραμένος πολτός τεύτλου,,,,,26,16,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-large-athletic-adult-sensitive-dig-dog-dry-gr-document,
Purina Pro Plan,Large Athletic Adult κοτόπουλο,Purina Pro Plan Large Athletic Adult κοτόπουλο,dog,dry,adult,large,,,dog;dry;large_breed;chicken;rice;corn;wheat,"κοτόπουλο (19%), σιτάρι, αποξηραμένη πρωτεΐνη πουλερικών, αραβόσιτος, ρύζι (7%), ίνες σίτου, υδρολυμένες πρωτεΐνες, αποξηραμένη πούλπα ζαχαρότευτλων, άλευρο σόγιας, άλευρο γλουτένης σίτου, ζωικό λίπος, άλευρο γλουτένης αραβοσίτου, μέταλλα, αποξηραμένο αυγό, ιχθυέλαιο.","[""κοτόπουλο (19%)"",""σιτάρι"",""αποξηραμένη πρωτεΐνη πουλερικών"",""αραβόσιτος"",""ρύζι (7%)"",""ίνες σίτου"",""υδρολυμένες πρωτεΐνες"",""αποξηραμένη πούλπα ζαχαρότευτλων"",""άλευρο σόγιας"",""άλευρο γλουτένης σίτου"",""ζωικό λίπος"",""άλευρο γλουτένης αραβοσίτου"",""μέταλλα"",""αποξηραμένο αυγό"",""ιχθυέλαιο.""]",κοτόπουλο (19%);αποξηραμένη πρωτεΐνη πουλερικών;αποξηραμένο αυγό;ιχθυέλαιο.,σιτάρι;αραβόσιτος;ρύζι (7%);άλευρο σόγιας,ζωικό λίπος;ιχθυέλαιο.,ίνες σίτου;αποξηραμένη πούλπα ζαχαρότευτλων,,,,,26,12,2.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PRO PLAN DOG.docx; official_url_required=true; kcal_required=true; duplicate_pack_rows_skipped=0; Auto-extracted from PRO PLAN DOG.docx; verify against official Purina source or label before import.,purina-pro-plan-large-athletic-adult-dog-dry-gr-document,
