formula_key,brand,formula_name,species,format,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
purina-official-cat-chow-adult-kοτοπουλο-γαλοπουλα-cat-dry-gr,Purina Cat Chow,CAT CHOW® ADULT Kοτόπουλο & Γαλοπούλα,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-dry-adult-chicken-and-turkey,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-cat-chow-feline-3in1-cat-dry-gr,Purina Cat Chow,CAT CHOW® FELINE 3IN1,cat,dry,partial,ingredient_text|kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-feline-3in1-dry-adult-chicken,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-cat-chow-hairball-control-cat-dry-gr,Purina Cat Chow,CAT CHOW® HAIRBALL CONTROL,cat,dry,partial,ingredient_text|kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-hairball-control-dry-adult-chicken,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-cat-chow-kitten-κοτοπουλο-cat-dry-gr,Purina Cat Chow,CAT CHOW® KITTEN Κοτόπουλο,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-dry-kitten-chicken,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-cat-chow-sterilised-γαλοπουλα-cat-dry-gr,Purina Cat Chow,CAT CHOW® STERILISED Γαλοπούλα,cat,dry,partial,ingredient_text|kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-sterilised-dry-adult-turkey,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-cat-chow-sterilised-κοτοπουλο-cat-dry-gr,Purina Cat Chow,CAT CHOW® STERILISED Κοτόπουλο,cat,dry,partial,ingredient_text|kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-sterilised-dry-adult-chicken,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-cat-chow-urinary-tract-health-cat-dry-gr,Purina Cat Chow,CAT CHOW® URINARY TRACT HEALTH,cat,dry,partial,ingredient_text|kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-chow-urinary-tract-health-dry-adult-chicken,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-adult-renal-plus-cat-κοτοπουλο-cat-dry-gr,Purina Pro Plan,PRO PLAN® Adult Renal plus Cat Κοτόπουλο,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-adult-renal-plus-chicken,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-light-cat-γαλοπουλα-cat-dry-gr,Purina Pro Plan,PRO PLAN® LIGHT Cat Γαλοπούλα,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-light-dry-vital-turkey,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-sterilised-μπακαλιαρος-και-πεστρορφα-cat-dry-gr,Purina Pro Plan,PRO PLAN® STERILISED Μπακαλιάρος και Πέστρορφα,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-savoury-duo-sterilised-dry-cod-trout,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-sterilised-renal-plus-cat-κουνελι-cat-dry-gr,Purina Pro Plan,PRO PLAN® STERILISED Renal Plus Cat Κουνέλι,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-rabbit,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-sterilised-renal-plus-cat-σολομος-cat-dry-gr,Purina Pro Plan,PRO PLAN® STERILISED Renal Plus Cat Σολομός,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-salmon,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-sterilised-savoury-duo-παπια-και-συκωτι-cat-dry-gr,Purina Pro Plan,PRO PLAN® STERILISED Savoury Duo Πάπια και Συκώτι,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-savoury-duo-sterilised-dry-duck-liver,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-sterilised-vital-functions-cat-σολομος-cat-dry-gr,Purina Pro Plan,PRO PLAN® STERILISED Vital functions Cat Σολομός,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-vital-functions-salmon,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-kitten-γαλοπουλα-σε-σαλτσα-cat-wet-gr,Purina Pro Plan Veterinary Diets,PRO PLAN KITTEN Γαλοπούλα σε σάλτσα,cat,wet,partial,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-nutrisavour-wet-kitten-turkey-in-gravy,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
purina-official-pro-plan-delicate-digestion-γαλοπουλα-cat-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® DELICATE Digestion Γαλοπούλα,cat,dry,partial,kcal_per_100g_or_kcal_per_kg,https://www.purina.gr/cat/cat-food/product-proplan-delicate-digestion-dry-turkey,0,"Match to existing/staged Purina formula, verify official nutrients, then preview in Food V2 before commit.",Official Purina page enrichment; calories/minerals may still need backfill.
