brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Unica Classe,Unica Class Adult Medium Regular Chicken,Unica Class Adult Medium Regular Chicken,dog,dry,adult,medium,,,dog;dry;maintenance;chicken,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,26,15,2.75,7.9,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=1; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-medium-regular-chicken-dog-dry-gr-document,
Unica Classe,Unica Class Adult All Breeds Longevity Salmon,Unica Class Adult All Breeds Longevity Salmon,dog,dry,senior,all,,,dog;dry;senior;salmon;fish,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,23.5,10,3.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=1; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-all-breeds-longevity-salmon-dog-dry-gr-document,
Unica Classe,Unica Class Adult Large Equilibrium Lamb,Unica Class Adult Large Equilibrium Lamb,dog,dry,adult,large,,,dog;dry;balanced;lamb,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,24.5,14,3,8,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=0; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-large-equilibrium-lamb-dog-dry-gr-document,
Unica Classe,Unica Class Adult Large Regular Chicken,Unica Class Adult Large Regular Chicken,dog,dry,adult,large,,,dog;dry;maintenance;chicken,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,23.5,10,3.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=0; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-large-regular-chicken-dog-dry-gr-document,
Unica Classe,Unica Class Adult Large Sensitive Tuna,Unica Class Adult Large Sensitive Tuna,dog,dry,adult,large,,gi_support,dog;dry;sensitive_digestion;tuna;fish,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,27,17,3,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=0; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-large-sensitive-tuna-dog-dry-gr-document,
Unica Classe,Unica Class Adult Medium Equilibrium Lamb,Unica Class Adult Medium Equilibrium Lamb,dog,dry,adult,medium,,,dog;dry;balanced;lamb;corn,"Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων αρνί 7,5% *), αλεύρι σίτου, καλαμπόκι, αλεύρι αραβοσίτου, ζωικό λίπος, λευκό σόργο (5%), φύλλο αραβοσίτου, γλουτένη αραβοσίτου, πρωτεΐνες υδρολυμένα ζώα, αλεύρι χαρουπιού (1%), προϊόντα ζύμης.","[""Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων αρνί 7,5% *)"",""αλεύρι σίτου"",""καλαμπόκι"",""αλεύρι αραβοσίτου"",""ζωικό λίπος"",""λευκό σόργο (5%)"",""φύλλο αραβοσίτου"",""γλουτένη αραβοσίτου"",""πρωτεΐνες υδρολυμένα ζώα"",""αλεύρι χαρουπιού (1%)"",""προϊόντα ζύμης""]","Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων αρνί 7,5% *)",αλεύρι σίτου;αλεύρι αραβοσίτου;λευκό σόργο (5%);φύλλο αραβοσίτου;γλουτένη αραβοσίτου,ζωικό λίπος,αλεύρι χαρουπιού (1%),"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες. Διατροφικά πρόσθετα (ανά kg): Διατροφικά πρόσθετα: Βιταμίνη Α 14.000 IU, Βιταμίνη D3 785 IU, Βιταμίνη Ε 105 IU, Βιταμίνη C 70 mg, πενταένυδρο θειικό χαλκό (II) 43,33 mg (Χαλκός 11,03 mg), οξείδιο του ψευδαργύρου 78,12 mg ( Ψευδάργυρος 63,00 mg), ανθρακικός σίδηρος (II) 163,01 mg (σίδηρος 78,75 mg), οξείδιο του μαγγανίου (II) 28,44 (μαγγάνιο 22,05 mg), άνυδρο ιωδιούχο ασβέστιο 1,94 mg (Ιώδιο 1,26 mg), Σελήνιο νατρίου 0,31 mg (Σελήνιο 0,14 mg). Τεχνολογικά πρόσθετα: αντιοξειδωτικά.",,,,25.5,15,3,7.5,,,,,,,,,,,,,,,14,785,105,163.01,78.12,43.33,22.05,1.26,0.31,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=1; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-medium-equilibrium-lamb-dog-dry-gr-document,
Unica Classe,Unica Class Adult Medium Sensitive Tuna,Unica Class Adult Medium Sensitive Tuna,dog,dry,adult,medium,,gi_support,dog;dry;sensitive_digestion;tuna;fish;corn,"Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων ο τόνος 7% *), αλεύρι σίτου, αραβόσιτος, αλεύρι αραβοσίτου, ζωικό λίπος, λευκό σόργο (5%), φύλλο αραβοσίτου, γλουτένη αραβοσίτου, υδρολυμένες ζωικές πρωτεΐνες, αλεύρι χαρουπιού, ιχθυέλαιο, προϊόντα ζύμης.","[""Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων ο τόνος 7% *)"",""αλεύρι σίτου"",""αραβόσιτος"",""αλεύρι αραβοσίτου"",""ζωικό λίπος"",""λευκό σόργο (5%)"",""φύλλο αραβοσίτου"",""γλουτένη αραβοσίτου"",""υδρολυμένες ζωικές πρωτεΐνες"",""αλεύρι χαρουπιού"",""ιχθυέλαιο"",""προϊόντα ζύμης""]",Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων ο τόνος 7% *),αλεύρι σίτου;αραβόσιτος;αλεύρι αραβοσίτου;λευκό σόργο (5%);φύλλο αραβοσίτου;γλουτένη αραβοσίτου,ζωικό λίπος;ιχθυέλαιο,αλεύρι χαρουπιού,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες. Διατροφικά πρόσθετα (ανά kg): Διατροφικά πρόσθετα: Βιταμίνη Α 17.500 IU, Βιταμίνη D3 785 IU, Βιταμίνη Ε 105 IU, Βιταμίνη C 70 mg, Βιοτίνη 0,28 mg, πενταένυδρο θειικό χαλκό (II) 48,14 mg (Χαλκός 12,25 mg), Οξείδιο Ψευδάργυρος 86,80 mg (Ψευδάργυρος 70,00 mg), Ανθρακικός σίδηρος (II) 163,01 mg (Σίδηρος 78,75 mg), οξείδιο του Μαγγανίου (II) 28,44 (Μαγγάνιο 22,05 mg), Ιώδιο άνυδρο ασβέστιο 1,94 mg (ιώδιο 1,26 mg), σελήνιο νάτριο 0,31 mg (σελήνιο 0,14 mg). Τεχνολογικά πρόσθετα: αντιοξειδωτικά.",,,,25,15,3,7.3,,,,,,,,,,,,,,,17.5,785,105,163.01,86.8,48.14,22.05,1.94,0.31,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=0; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-medium-sensitive-tuna-dog-dry-gr-document,
Unica Classe,Unica Class Adult Mini Regular Chicken,Unica Class Adult Mini Regular Chicken,dog,dry,adult,small,,,dog;dry;maintenance;chicken;rice;corn,"Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων κοτόπουλο 7% *), αλεύρι σίτου, καλαμπόκι, ζωικό λίπος, λευκό σόργο (5%), φύλλο αραβοσίτου, ρύζι, γλουτένη αραβοσίτου, αλεύρι αραβοσίτου, υδρολυμένη ζωική πρωτεΐνη, αλεύρι χαρουπιού, προϊόντα ζύμης, νάτριο τριπολυφωσφορικό (0,05%), Yucca shidigera.","[""Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων κοτόπουλο 7% *)"",""αλεύρι σίτου"",""καλαμπόκι"",""ζωικό λίπος"",""λευκό σόργο (5%)"",""φύλλο αραβοσίτου"",""ρύζι"",""γλουτένη αραβοσίτου"",""αλεύρι αραβοσίτου"",""υδρολυμένη ζωική πρωτεΐνη"",""αλεύρι χαρουπιού"",""προϊόντα ζύμης"",""νάτριο τριπολυφωσφορικό (0,05%)"",""Yucca shidigera""]",Αφυδατωμένες ζωικές πρωτεΐνες (εκ των οποίων κοτόπουλο 7% *),αλεύρι σίτου;λευκό σόργο (5%);φύλλο αραβοσίτου;ρύζι;γλουτένη αραβοσίτου;αλεύρι αραβοσίτου,ζωικό λίπος,αλεύρι χαρουπιού,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες. Διατροφικά πρόσθετα: Βιταμίνη Α 14.000 IU, βιταμίνη D3 785 IU, βιταμίνη Ε 85 IU, βιταμίνη Β6 4,20 mg, πενταένυδρος θειικός χαλκός (II) 43,33 mg (χαλκός 11,03 mg), οξείδιο ψευδαργύρου 78,12 mg (ψευδάργυρος 63,00 mg), σίδηρος (II ) ανθρακικό 163,01 mg (σίδηρος 78,75 mg), οξείδιο μαγγανίου (II) 28,44 (μαγγάνιο 22,05 mg), άνυδρο ιώδιο ασβεστίου 2, 16 mg (ιώδιο 1,40 mg), σεληνικό νάτριο 0,28 mg (σελήνιο 0,13 mg).",,,,27,17,2.65,8.4,,,,,,,,,,,,,,,14,785,85,163.01,78.12,43.33,22.05,1.4,0.13,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=1; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-mini-regular-chicken-dog-dry-gr-document,
Unica Classe,Unica Class Adult Mini Sensitive Tuna,Unica Class Adult Mini Sensitive Tuna,dog,dry,adult,small,,gi_support,dog;dry;sensitive_digestion;tuna;fish,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,27,17,3,7.5,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=0; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-mini-sensitive-tuna-dog-dry-gr-document,
Unica Classe,Unica Class Adult Mini Tonic Salmon,Unica Class Adult Mini Tonic Salmon,dog,dry,adult,small,,,dog;dry;skin_coat;salmon;fish,,,,,,,"Το σόργο, ένα αρχαίο σιτηρό και θεωρείται εδώ και καιρό όχι μόνο θρεπτική ζωοτροφή αλλά μια ασφαλής εναλλακτική λύση του σιταριού για όσους ακολουθούν μια διατροφή χωρίς γλουτένη. Είναι πλούσιο σε θρεπτικά συστατικά, προσφέροντας βιταμίνες Β3, Β2 και θειαμίνη Β1, καθώς και υψηλά επίπεδα μαγνησίου, σιδήρου, χαλκού, ασβεστίου, φωσφόρου και καλίου. Παρέχει ακόμη λίπη, Ω3 λιπαρά οξέα και υδατάνθρακες.",,,,27.5,18,2.65,7.7,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Unica Classe.docx; formula_level_dedupe=true; pack_size_rows_collapsed=true; official_url_required=true; kcal_backfill_required=true; missing_composition_possible=true; duplicate_blocks_skipped=0; Auto-extracted from Unica Classe.docx; verify against official source or label before import.,unica-classe-unica-class-adult-mini-tonic-salmon-dog-dry-gr-document,
