formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
josera-josera-sensicat-poultry-cat-dry-gr-document,Josera,Josera Sensicat Poultry,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-culinese-poultry-cat-dry-gr-document,Josera,Josera Culinese Poultry,cat,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-leger-sterilised-poultry-cat-dry-gr-document,Josera,Josera Leger Sterilised Poultry,cat,needs_review,data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-kitten-grain-free-poultry-salmon-oil-cat-dry-gr-document,Josera,Josera Kitten Grain Free Poultry & Salmon Oil,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-senior-renal-cat-dry-gr-document,Josera,Josera Senior Renal,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,1,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-josicat-classic-sterilised-cat-dry-gr-document,Josera,Josera JosiCat Classic Sterilised,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,1,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-dailycat-cat-dry-gr-document,Josera,Josera Dailycat,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-dailycat-grain-free-poultry-cat-dry-gr-document,Josera,Josera Dailycat Grain Free Poultry,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-kitten-salmon-oil-cat-dry-gr-document,Josera,Josera Kitten Salmon Oil,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-marinese-hypoallergenic-grain-free-salmon-monoprotein-cat-dry-gr-document,Josera,Josera Marinese Hypoallergenic Grain Free Salmon Monoprotein,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-catelux-duck-poultry-cat-dry-gr-document,Josera,Josera Catelux Duck & Poultry,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-naturecat-grain-free-poultry-salmon-cat-dry-gr-document,Josera,Josera Naturecat Grain Free Poultry & Salmon,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-naturelle-sterilised-trout-cat-dry-gr-document,Josera,Josera Naturelle Sterilised Trout,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-chicken-pure-fillet-grain-free-cat-wet-gr-document,Josera,Josera Chicken Pure Fillet Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-chicken-salmon-fillet-grain-free-cat-wet-gr-document,Josera,Josera Chicken & Salmon Fillet Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-duck-chicken-parsley-pate-grain-free-cat-wet-gr-document,Josera,Josera Duck & Chicken Parsley Pate Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-chicken-spinach-pate-grain-free-cat-wet-gr-document,Josera,Josera Chicken & Spinach Pate Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-kitten-chicken-salmon-oil-pate-grain-free-cat-wet-gr-document,Josera,Josera Kitten Chicken & Salmon Oil Pate Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-chicken-veal-fillet-grain-free-cat-wet-gr-document,Josera,Josera Chicken & Veal Fillet Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-chicken-beef-fillet-grain-free-cat-wet-gr-document,Josera,Josera Chicken & Beef Fillet Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-chicken-duck-fillet-grain-free-cat-wet-gr-document,Josera,Josera Chicken & Duck Fillet Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
josera-josera-turkey-zucchini-pate-grain-free-cat-wet-gr-document,Josera,Josera Turkey & Zucchini Pate Grain Free,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,0,"Attach official Josera URL, verify nutrients/format, backfill missing kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Uploaded document includes cat dry and pouch formulas. Keep in review until official provenance is linked.
