brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Josera,Josera Sensicat Poultry,Josera Sensicat Poultry,cat,dry,adult,,,urinary;gi_support,cat;dry;hairball;sensitive_digestion;urinary;chicken;beef;rice;corn,"κρέας πουλερικών, καλαμπόκι ολικής άλεσης, ρύζι, απολιπωμένο κρέας βοδινού και χοίρου, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, αφυδατωμένο συκώτι πουλερικών, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο.","[""κρέας πουλερικών"",""καλαμπόκι ολικής άλεσης"",""ρύζι"",""απολιπωμένο κρέας βοδινού και χοίρου"",""λίπος πουλερικών"",""πούλπα ζαχαρότευτλων"",""πρωτεΐνη πουλερικών υδρολυμένη"",""γλουτένη αραβοσίτου"",""αφυδατωμένο συκώτι πουλερικών"",""φωσφορικό μονο-νάτριο"",""χλωριούχο κάλιο""]",κρέας πουλερικών;απολιπωμένο κρέας βοδινού και χοίρου;λίπος πουλερικών;πρωτεΐνη πουλερικών υδρολυμένη;αφυδατωμένο συκώτι πουλερικών,καλαμπόκι ολικής άλεσης;ρύζι,λίπος πουλερικών,,,,,,33,18,2,6.7,,1.3,1,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-sensicat-poultry-cat-dry-gr-document,
Josera,Josera Culinese Poultry,Josera Culinese Poultry,cat,dry,adult,,,urinary,cat;dry;hairball;urinary;chicken;salmon;fish;beef;rice;corn,"κρέας πουλερικών, ρύζι, καλαμπόκι, απολιπωμένο κρέας βοδινού και χοίρου, λίπος πουλερικών, πούλπα ζαχαρότευτλων, σολομός 6,0%, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, αφυδατωμένο συκώτι πουλερικών, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο.","[""κρέας πουλερικών"",""ρύζι"",""καλαμπόκι"",""απολιπωμένο κρέας βοδινού και χοίρου"",""λίπος πουλερικών"",""πούλπα ζαχαρότευτλων"",""σολομός 6,0%"",""πρωτεΐνη πουλερικών υδρολυμένη"",""γλουτένη αραβοσίτου"",""αφυδατωμένο συκώτι πουλερικών"",""φωσφορικό μονο-νάτριο"",""χλωριούχο κάλιο""]","κρέας πουλερικών;απολιπωμένο κρέας βοδινού και χοίρου;λίπος πουλερικών;σολομός 6,0%;πρωτεΐνη πουλερικών υδρολυμένη;αφυδατωμένο συκώτι πουλερικών",ρύζι;καλαμπόκι,λίπος πουλερικών,,"Διατροφικές πρόσθετες ύλες ανά 1 kg: Νιασίνη 90 mg/kg, Παντοθενικό οξύ 50 mg/kg, Φολικό οξύ 5 mg/kg, Bιοτίνη 1000 mcg/kg, Ταυρίνη 1500 mg/kg, Σίδηρος (θειικός σίδηρος, μονοϋδρικός) 175 mg/kg, Ψευδάργυρος (χηλικός ψευδάργυρος της γλυκίνης, ένυδρος) 150 mg/kg, Μαγγάνιο(οξείδιο του μαγγανίου) 15 mg/kg, Χαλκός (χηλικός χαλκός της γλυκίνης, ένυδρος) 18 mg/kg, Ιώδιο (ιωδιούχο ασβέστιο) 1,80 mg/kg, Σελήνιο (σεληνιώδες νάτριο) 0,23 mg/kg.",,372.6,3726,31,13.5,2.5,7.5,,1.2,1.1,0.4,0.09,0.6,,,,,1500,,,,,,,175,150,18,15,1.8,0.23,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-culinese-poultry-cat-dry-gr-document,
Josera,Josera Leger Sterilised Poultry,Josera Leger Sterilised Poultry,cat,dry,adult,,,urinary;obesity,cat;dry;sterilised;weight_control;hairball;urinary;chicken;salmon;fish;beef;rice;corn,"κρέας πουλερικών, καλαμπόκι, απολιπωμένο κρέας βοδινού και χοίρου, ρύζι, κυτταρίνη, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, γλουτένη αραβοσίτου, λίπος πουλερικών, αφυδατωμένο συκώτι πουλερικών, χλωριούχο κάλιο, φωσφορικό μονο-νάτριο.","[""κρέας πουλερικών"",""καλαμπόκι"",""απολιπωμένο κρέας βοδινού και χοίρου"",""ρύζι"",""κυτταρίνη"",""πούλπα ζαχαρότευτλων"",""πρωτεΐνη πουλερικών υδρολυμένη"",""γλουτένη αραβοσίτου"",""λίπος πουλερικών"",""αφυδατωμένο συκώτι πουλερικών"",""χλωριούχο κάλιο"",""φωσφορικό μονο-νάτριο""]",κρέας πουλερικών;απολιπωμένο κρέας βοδινού και χοίρου;πρωτεΐνη πουλερικών υδρολυμένη;λίπος πουλερικών;αφυδατωμένο συκώτι πουλερικών,καλαμπόκι;ρύζι,λίπος πουλερικών,κυτταρίνη,"Διατροφικές πρόσθετες ύλες ανά 1 kg: Νιασίνη 90 mg/kg, Παντοθενικό οξύ 50 mg/kg, Φολικό οξύ 5 mg/kg, Bιοτίνη 1000 mcg/kg, Ταυρίνη 1500 mg/kg, Σίδηρος (θειικός σίδηρος, μονοϋδρικός) 175 mg/kg, Μαγγάνιο(οξείδιο του μαγγανίου) 15 mg/kg, Χαλκός (χηλικός χαλκός της γλυκίνης, ένυδρος) 18 mg/kg, Ιώδιο (ιωδιούχο ασβέστιο) 1,80 mg/kg, Σελήνιο (σεληνιώδες νάτριο) 0,23 mg/kg.",,345.3,3453,35,10,6,7,,1.2,1.1,0.4,0.09,0.6,,,,,1500,,,,,,,175,,18,15,1.8,0.23,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-leger-sterilised-poultry-cat-dry-gr-document,
Josera,Josera Kitten Grain Free Poultry & Salmon Oil,Josera Kitten Grain Free Poultry & Salmon Oil,cat,dry,kitten,,,gi_support,cat;dry;grain_free;kitten;hairball;sensitive_digestion;chicken;salmon;fish;potato,"αποξηραμένη πρωτεΐνη πουλερικών, λίπος πουλερικών, αποξηραμένη πατάτα, αλεύρι μπιζελιού, ίνες τεύτλων, αποξηραμένη ταπιόκα, πρωτεΐνη πατάτας, υδρολυμένη πρωτεΐνη ψαριού, υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών, λάδι σολομού, μαγιά, μεταλλικά στοιχεία, αλεσμένη ρίζα κιχωρίου (φυσική πηγή ινουλίνης).","[""αποξηραμένη πρωτεΐνη πουλερικών"",""λίπος πουλερικών"",""αποξηραμένη πατάτα"",""αλεύρι μπιζελιού"",""ίνες τεύτλων"",""αποξηραμένη ταπιόκα"",""πρωτεΐνη πατάτας"",""υδρολυμένη πρωτεΐνη ψαριού"",""υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών"",""λάδι σολομού"",""μαγιά"",""μεταλλικά στοιχεία"",""αλεσμένη ρίζα κιχωρίου (φυσική πηγή ινουλίνης)""]",αποξηραμένη πρωτεΐνη πουλερικών;λίπος πουλερικών;υδρολυμένη πρωτεΐνη ψαριού;υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών;λάδι σολομού,αποξηραμένη πατάτα;αλεύρι μπιζελιού;αποξηραμένη ταπιόκα;πρωτεΐνη πατάτας,λίπος πουλερικών;λάδι σολομού,ίνες τεύτλων;αλεσμένη ρίζα κιχωρίου (φυσική πηγή ινουλίνης),,,,,36,22,2,7,,1.35,1.05,0.4,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-kitten-grain-free-poultry-salmon-oil-cat-dry-gr-document,
Josera,Josera Senior Renal,Josera Senior Renal,cat,dry,senior,,,renal,cat;dry;renal;chicken;rice;corn;potato,"λίπος πουλερικών, ρύζι, καλαμπόκι ολικής αλέσεως, πούλπα ζαχαρότευτλων, αποξηραμένη πατάτα, πρωτεΐνη πατάτας, υδρολυμένη πρωτεΐνη πουλερικών αφυδατωμένο συκώτι πουλερικών, ανθρακικό ασβέστιο, χλωριούχο κάλιο.","[""λίπος πουλερικών"",""ρύζι"",""καλαμπόκι ολικής αλέσεως"",""πούλπα ζαχαρότευτλων"",""αποξηραμένη πατάτα"",""πρωτεΐνη πατάτας"",""υδρολυμένη πρωτεΐνη πουλερικών αφυδατωμένο συκώτι πουλερικών"",""ανθρακικό ασβέστιο"",""χλωριούχο κάλιο""]",λίπος πουλερικών;υδρολυμένη πρωτεΐνη πουλερικών αφυδατωμένο συκώτι πουλερικών,ρύζι;καλαμπόκι ολικής αλέσεως;αποξηραμένη πατάτα;πρωτεΐνη πατάτας,λίπος πουλερικών,,"Τα πολύτιμα αντιοξειδωτικά όπως η βιταμίνη C, η βιταμίνη E και η ταυρίνη που περιέχει η τροφή βοηθάνε στη πρόληψη γήρανσης των κυττάρων. Ταυτόχρονα η τροφή περιέχει μειωμένη ποσότητα σε φωσφόρο με αποτέλεσμα να υποστηρίζει τη λειτουργία των νεφρών. •Οι πατάτες περιέχουν κυρίως βιταμίνη C και βιταμίνη Β6 και αρκετά ιχνοστοιχεία που χρειάζεται ο οργανισμός της γάτα σου.",,,,27,20,2.7,5.1,,0.6,0.45,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=1; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-senior-renal-cat-dry-gr-document,
Josera,Josera JosiCat Classic Sterilised,Josera JosiCat Classic Sterilised,cat,dry,adult,,,urinary;obesity;gi_support,cat;dry;sterilised;weight_control;sensitive_digestion;urinary;chicken;salmon;fish;rice;corn,"Ολόκληροι κόκκοι καλαμποκιού, αποξηρά τροφήμένη πρωτεΐνη πουλερικών, ρύζι, ίνες τεύτλων, λίπος, αποξηρά τροφήμένος σολομός, λίπος πουλερικών, υδρολυμένη πρωτεΐνη πουλερικών, υδρολυμένη ζωική πρωτεΐνη, φυτικές ίνες, αποξηρά τροφήμένο συκώτι πουλερικών, ιχνοστοιχεία, ρίζα κιχωρίου (φυσική πηγή ινουλίνης)","[""Ολόκληροι κόκκοι καλαμποκιού"",""αποξηρά τροφήμένη πρωτεΐνη πουλερικών"",""ρύζι"",""ίνες τεύτλων"",""λίπος"",""αποξηρά τροφήμένος σολομός"",""λίπος πουλερικών"",""υδρολυμένη πρωτεΐνη πουλερικών"",""υδρολυμένη ζωική πρωτεΐνη"",""φυτικές ίνες"",""αποξηρά τροφήμένο συκώτι πουλερικών"",""ιχνοστοιχεία"",""ρίζα κιχωρίου (φυσική πηγή ινουλίνης)""]",αποξηρά τροφήμένη πρωτεΐνη πουλερικών;αποξηρά τροφήμένος σολομός;λίπος πουλερικών;υδρολυμένη πρωτεΐνη πουλερικών;αποξηρά τροφήμένο συκώτι πουλερικών,Ολόκληροι κόκκοι καλαμποκιού;ρύζι,λίπος;λίπος πουλερικών,ίνες τεύτλων;φυτικές ίνες;ρίζα κιχωρίου (φυσική πηγή ινουλίνης),,,,,32,10,4,6.5,,1.5,1,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=1; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-josicat-classic-sterilised-cat-dry-gr-document,
Josera,Josera Dailycat,Josera Dailycat,cat,dry,adult,,,gi_support,cat;dry;grain_free;hairball;sensitive_digestion;chicken;potato,"αφυδατωμένο κρέας πουλερικών 39,0%, γλυκοπατάτα, αλεύρι από μπιζέλια, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, αφυδατωμένο συκώτι πουλερικών, βότανα, φρούτα, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο.","[""αφυδατωμένο κρέας πουλερικών 39,0%"",""γλυκοπατάτα"",""αλεύρι από μπιζέλια"",""λίπος πουλερικών"",""πούλπα ζαχαρότευτλων"",""πρωτεΐνη πουλερικών υδρολυμένη"",""αφυδατωμένο συκώτι πουλερικών"",""βότανα"",""φρούτα"",""φωσφορικό μονο-νάτριο"",""χλωριούχο κάλιο""]","αφυδατωμένο κρέας πουλερικών 39,0%;λίπος πουλερικών;πρωτεΐνη πουλερικών υδρολυμένη;αφυδατωμένο συκώτι πουλερικών",γλυκοπατάτα;αλεύρι από μπιζέλια,λίπος πουλερικών,,"•Η γλυκοπατάτα είναι μία από τις καλύτερες πηγές βιταμίνης Α, η οποία βοηθάει στην υγεία του τριχώματος, του δέρματος, των ματιών, του νευρικού συστήματος και των μυών. Επιπλέον είναι πλούσιες σε φυτικές ίνες και δεν περιέχουν γλουτένη, με αποτέλεσμα να βοηθούν στην πέψη.",,,,33,16,2.2,7,,1.25,0.95,0.45,0.1,0.6,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-dailycat-cat-dry-gr-document,
Josera,Josera Dailycat Grain Free Poultry,Josera Dailycat Grain Free Poultry,cat,dry,adult,,,gi_support,cat;dry;grain_free;hairball;sensitive_digestion;chicken;potato,"αφυδατωμένο κρέας πουλερικών 39,0%, γλυκοπατάτα, αλεύρι από μπιζέλια, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, αφυδατωμένο συκώτι πουλερικών, βότανα, φρούτα, φωσφορικό μονο-νάτριο, χλωριούχο κάλιο.","[""αφυδατωμένο κρέας πουλερικών 39,0%"",""γλυκοπατάτα"",""αλεύρι από μπιζέλια"",""λίπος πουλερικών"",""πούλπα ζαχαρότευτλων"",""πρωτεΐνη πουλερικών υδρολυμένη"",""αφυδατωμένο συκώτι πουλερικών"",""βότανα"",""φρούτα"",""φωσφορικό μονο-νάτριο"",""χλωριούχο κάλιο""]","αφυδατωμένο κρέας πουλερικών 39,0%;λίπος πουλερικών;πρωτεΐνη πουλερικών υδρολυμένη;αφυδατωμένο συκώτι πουλερικών",γλυκοπατάτα;αλεύρι από μπιζέλια,λίπος πουλερικών,,"•Η γλυκοπατάτα είναι μία από τις καλύτερες πηγές βιταμίνης Α, η οποία βοηθάει στην υγεία του τριχώματος, του δέρματος, των ματιών, του νευρικού συστήματος και των μυών. Επιπλέον είναι πλούσιες σε φυτικές ίνες και δεν περιέχουν γλουτένη, με αποτέλεσμα να βοηθούν στην πέψη.",,,,33,16,2.2,7,,1.25,0.95,0.45,0.1,0.6,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-dailycat-grain-free-poultry-cat-dry-gr-document,
Josera,Josera Kitten Salmon Oil,Josera Kitten Salmon Oil,cat,dry,kitten,,,gi_support,cat;dry;grain_free;kitten;hairball;sensitive_digestion;chicken;salmon;fish;rice;potato,"αποξηραμένη πρωτεΐνη πουλερικών, ρύζι, λίπος πουλερικών, αποξηραμένη πατάτα, ίνες τεύτλων, αποξηραμένη πρωτεΐνη σολομού, υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών, λάδι σολομού, μεταλλικά στοιχεία,","[""αποξηραμένη πρωτεΐνη πουλερικών"",""ρύζι"",""λίπος πουλερικών"",""αποξηραμένη πατάτα"",""ίνες τεύτλων"",""αποξηραμένη πρωτεΐνη σολομού"",""υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών"",""λάδι σολομού"",""μεταλλικά στοιχεία""]",αποξηραμένη πρωτεΐνη πουλερικών;λίπος πουλερικών;αποξηραμένη πρωτεΐνη σολομού;υδρολυμένη ζωική πρωτεΐνη. υδρολυμένο συκώτι πουλερικών;λάδι σολομού,ρύζι;αποξηραμένη πατάτα,λίπος πουλερικών;λάδι σολομού,ίνες τεύτλων,,,,,35,22,2,7,,1.4,1.1,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-kitten-salmon-oil-cat-dry-gr-document,
Josera,Josera Marinese Hypoallergenic Grain Free Salmon Monoprotein,Josera Marinese Hypoallergenic Grain Free Salmon Monoprotein,cat,dry,adult,,,allergy;gi_support,cat;dry;grain_free;hairball;allergy;sensitive_digestion;chicken;salmon;fish;potato,"αφυδατωμένος σολομός, αφυδατωμένες πατάτες, λίπος πουλερικών, πούλπα ζαχαρότευτλων, πρωτεΐνη πατάτας, πρωτεΐνη ψαριού υδρολυμένη, χλωριούχο νάτριο, χλωριούχο κάλιο.","[""αφυδατωμένος σολομός"",""αφυδατωμένες πατάτες"",""λίπος πουλερικών"",""πούλπα ζαχαρότευτλων"",""πρωτεΐνη πατάτας"",""πρωτεΐνη ψαριού υδρολυμένη"",""χλωριούχο νάτριο"",""χλωριούχο κάλιο""]",αφυδατωμένος σολομός;λίπος πουλερικών;πρωτεΐνη ψαριού υδρολυμένη,αφυδατωμένες πατάτες;πρωτεΐνη πατάτας,λίπος πουλερικών,,•Οι πατάτες περιέχουν κυρίως βιταμίνη C και βιταμίνη Β6 και αρκετά ιχνοστοιχεία που χρειάζεται ο οργανισμός της γάτα σου.,,,,30,15,2.2,6.9,,1.2,1,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_document; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; formula_level_dedupe=true; official_url_required=true; kcal_backfill_required_when_missing=true; duplicate_blocks_skipped=0; Auto-extracted from JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx; verify against official Josera source or label before import.,josera-josera-marinese-hypoallergenic-grain-free-salmon-monoprotein-cat-dry-gr-document,
