title,source_url,candidate_species,candidate_form,candidate_life_stages,kcal_per_100g,protein_percent,fat_percent,fiber_percent,calcium_percent,phosphorus_percent,canonical_status,review_reason,recommended_next_step
Beef & Fresh Salmon,https://ambrosiapetfood.com/el/products/beef-fresh-salmon/,dog,dry,adult,396.2,30,20,3,1.2,0.9,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Chicken & Fresh Fish,https://ambrosiapetfood.com/el/products/chicken-fresh-fish/,dog,dry,,399,32,22,2.5,1.4,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Chicken & Fresh Salmon,https://ambrosiapetfood.com/el/products/chicken-fresh-salmon/,dog,dry,adult,397,32,18,2.5,1.3,0.9,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Chicken & Salmon,https://ambrosiapetfood.com/el/products/chicken-salmon/,,wet,,87.7,6.8,6.2,0.4,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Chicken & Veggies,https://ambrosiapetfood.com/el/products/chicken-veggies/,dog,dry,adult,403.7,30,20,2.5,1.4,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Chicken & White Fish,https://ambrosiapetfood.com/el/products/chicken-white-fish/,,wet,,92.9,8.9,6.6,0.3,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Fresh Chicken & Salmon,https://ambrosiapetfood.com/el/products/fresh-chicken-salmon/,,dry,growth,398.4,30,20,2.5,1.6,1.1,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Fresh Duck & Turkey,https://ambrosiapetfood.com/el/products/fresh-duck-turkey/,cat,,adult,,38,13,5,1.8,1.2,not_imported,Missing kcal_per_100g on the official page extraction.,"Check official page manually, official PDF, or Greek label photo for metabolizable energy."
Fresh Duck,https://ambrosiapetfood.com/el/products/fresh-duck/,dog,dry,,374.7,24,14,3.5,1,0.7,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Lamb,https://ambrosiapetfood.com/el/products/fresh-lamb/,dog,dry,,363.3,27,17,4.5,2,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Salmon & Chicken,https://ambrosiapetfood.com/el/products/fresh-salmon-chicken-2/,cat,dry,,400.3,37,17,3,1.2,1,not_imported,Current canonical Ambrosia batch intentionally imported dog dry rows only.,Normalize in a dedicated cat-food batch after confirming cat schema assumptions.
Fresh Salmon & Chicken,https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/,dog,dry,adult,399,30,20,2.5,1.4,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Salmon & Rabbit,https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/,dog,dry,adult,405.5,30,20,3,1.1,0.8,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Salmon &Turkey,https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/,dog,dry,senior,324,23,8,5.5,1.6,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Sardine & Cod,https://ambrosiapetfood.com/el/products/fresh-sardine-cod/,dog,dry,,364,25.5,13,3.3,1,0.8,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Sardine & Herring,https://ambrosiapetfood.com/el/products/fresh-sardine-herring/,,dry,,367.6,30,18,2.8,1.2,0.9,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Fresh Sardine & Tuna,https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/,dog,dry,,373.6,28.5,16,2.9,1.6,1.1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Trout & Rabbit,https://ambrosiapetfood.com/el/products/fresh-trout-rabbit/,cat,,,,34,12,5.5,1.4,1,not_imported,Missing kcal_per_100g on the official page extraction.,"Check official page manually, official PDF, or Greek label photo for metabolizable energy."
Fresh Turkey & Chicken,https://ambrosiapetfood.com/el/products/fresh-turkey-chicken-2/,cat,dry,,406.1,40,20,2,1.6,1.1,not_imported,Current canonical Ambrosia batch intentionally imported dog dry rows only.,Normalize in a dedicated cat-food batch after confirming cat schema assumptions.
Fresh Turkey & Chicken,https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/,dog,dry,adult,390.9,30,18,2.5,1.5,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Turkey & Duck,https://ambrosiapetfood.com/el/products/fresh-turkey-duck/,dog,dry,adult,402,30,20,2.5,1.5,0.9,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Turkey & Herring,https://ambrosiapetfood.com/el/products/fresh-turkey-herring/,cat,dry,adult|senior,372,38,12,2,1,0.9,not_imported,Current canonical Ambrosia batch intentionally imported dog dry rows only.,Normalize in a dedicated cat-food batch after confirming cat schema assumptions.
Fresh Turkey & Rabbit,https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/,dog,dry,adult,405.5,30,20,3,1.6,1,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Turkey & Salmon,https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/,dog,dry,senior,324,27,12.5,3,1,0.7,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Turkey,https://ambrosiapetfood.com/el/products/fresh-turkey/,dog,dry,,360.1,27,14,4.5,1.4,0.9,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Fresh Venison & Lamb,https://ambrosiapetfood.com/el/products/fresh-venison-lamb/,dog,dry,adult,396.3,30,20,3,1.8,1.2,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Lamb & Fresh Salmon,https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/,dog,dry,adult,399.8,32,18,3,1.8,1.2,imported_partial,Imported as partial official-source row; sodium and magnesium are not published on the official page.,Backfill sodium_percent and magnesium_percent from official sheet or label photo.
Salmon & Chicken,https://ambrosiapetfood.com/el/products/salmon-chicken/,,wet,,81.5,6.9,5.1,0.4,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Salmon & Rabbit,https://ambrosiapetfood.com/el/products/salmon-rabbit/,,wet,,86.8,6.9,5.8,0.4,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Turkey & Chicken,https://ambrosiapetfood.com/el/products/turkey-chicken/,cat,wet,,82.2,7,5.8,0.2,0,0,not_imported,Current canonical Ambrosia batch intentionally imported dog dry rows only.,Normalize in a dedicated cat-food batch after confirming cat schema assumptions.
Turkey & Duck,https://ambrosiapetfood.com/el/products/turkey-duck/,,wet,,87.7,6.8,6.2,0.4,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Turkey & White Fish,https://ambrosiapetfood.com/el/products/turkey-white-fish-3/,,wet,,80.2,7.1,4.9,0.3,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
Turkey & White Fish,https://ambrosiapetfood.com/el/products/turkey-white-fish/,,wet,,80.4,7,4.8,0.3,0,0,not_imported,Species could not be inferred confidently from the current parser.,"Manually review breadcrumb, feeding guide, and pack image before import."
