brand,source_domain,market,source_tier,extraction_type,parser_notes
Hill's,hillspet.co.uk,UK,official,html,"Product pages can expose composition, calories, and average nutrient values."
Farmina,farmina.com,EU,official,html,"Official e-shop pages can expose ingredients, guaranteed analysis, and energy."
Virbac,uk.virbac.com,UK,official,html,"Veterinary HPM pages can expose composition, analytical constituents, and kcal per 100g."
Royal Canin,royalcanin.com/uk,UK,official,html,"UK product pages can expose composition and analytical constituents; veterinary lines may contain stronger mineral detail."
Purina,purina.co.uk,UK,official,html,"Consumer product pages can expose ingredients and calories; sodium and magnesium may be missing."
Purina VetCentre,vetcentre.purina.co.uk,UK,official,pdf,"Veterinary PDFs can provide richer analytical data for Purina veterinary diets."
ACANA,emea.acana.com,EU,official,html,"EMEA product pages can expose ingredients, energy, calcium, and phosphorus."
ORIJEN,orijenpetfoods.com,EU,official,html,"Official product pages can expose ingredients and energy; market-specific review needed."
SPECIFIC,specific-guide.com,EU,official,html,"Official guide pages can expose composition and analytical constituents."
Dechra,dechra.cld.bz,EU,official,pdf,"Official PDF catalog source for SPECIFIC/Dechra evidence."
Monge,monge.it,EU,official,html,"Official product pages can expose composition, analytical constituents, and energy for some lines."
Ambrosia,ambrosiapetfood.com,GR,official,html,"Official Greek product pages expose formula names, ingredients, analytical constituents, and kcal/kg for many products; sodium and magnesium are often missing."
Zooplus,zooplus.com,EU,authorized,html,"Fallback only when official manufacturer data is incomplete; mark needs_review until corroborated."
Tesco,tesco.com,UK,authorized,html,"Fallback retail evidence for UK pack data; mark needs_review until corroborated."
Gatoskilo,gatoskilo.gr,GR,authorized,html,"Greek retailer fallback for pack sizes, local availability, translated composition, and label details; keep rows needs_review unless corroborated by official source or photo."
Petshop88,petshop88.gr,GR,authorized,html,"Greek retailer fallback for product pages with Greek composition and analytical details; keep rows needs_review unless corroborated by official source or photo."
Pet City,petcity.gr,GR,authorized,html,"Greek retail chain fallback for local pack sizes, product matching, and translated label details; keep rows needs_review unless corroborated by official source or photo."
Pet Samolis,petsamolis.gr,GR,authorized,html,"Greek retailer fallback for pack sizes, local availability, translated composition, and label details; keep rows needs_review unless corroborated by official source or photo."
Pet-it,pet-it.gr,GR,authorized,html,"Greek retailer fallback for pack sizes, local availability, translated composition, and label details; keep rows needs_review unless corroborated by official source or photo."
Store photos,food-evidence/private,UK,photo,photo,"Private Supabase Storage evidence for barcode, pack size, ingredients, analysis, calories, and market confirmation."
