brand,name,species,life_stage,size,tags,ingredients,kcal_per_100g,protein_percent,fat_percent,fiber_percent,sodium_percent,magnesium_percent,calcium_percent,phosphorus_percent,data_quality_status,data_source_url,data_notes
Hill's,Science Plan Small & Mini Breed Adult Dog Food with Chicken,dog,adult,small,"[""dry"",""small_breed"",""adult"",""official_source""]","[""Chicken and turkey meal (chicken 13%; total poultry 21%)"",""maize"",""wheat"",""broken rice"",""animal fat"",""digest"",""soybean oil"",""flaxseed"",""minerals"",""vitamins"",""oat bran"",""spinach powder"",""dried citrus pulp"",""dried tomato pomace"",""fructo-oligosaccharides"",""trace elements and beta-carotene""]",372,23,14.3,1.3,0.29,0.083,0.77,0.66,verified,https://www.hillspet.co.uk/dog-food/science-plan-adult-small-mini-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; pack_sizes=1.5kg|3kg|6kg; note=Hill's UK product page."
Hill's,Science Plan Small & Mini Breed Puppy Dog Food with Chicken,dog,young,small,"[""dry"",""small_breed"",""puppy"",""growth"",""official_source""]","[""Chicken and turkey meal (chicken 19%; total poultry 29%)"",""broken rice"",""wheat"",""animal fat"",""maize"",""digest"",""dried beet pulp"",""maize protein meal"",""minerals"",""flaxseed"",""fish oil (1.5%)"",""vegetable oil"",""oat bran"",""fructo-oligosaccharides"",""dried tomato pomace"",""dried citrus pulp"",""spinach powder"",""ActivBiome+ Multi Benefit prebiotic blend (0.6%): Oat bran, fructo-oligosaccharides""]",383,27.7,18.1,1.3,0.48,0.082,1.34,1.03,verified,https://www.hillspet.co.uk/dog-food/science-plan-puppy-small-mini-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; pack_sizes=1.5kg|3kg; note=Hill's states displayed analytical values may differ slightly from package."
Hill's,Science Plan Perfect Weight Medium Breed Adult Dog Food with Chicken,dog,adult,medium,"[""dry"",""medium_breed"",""adult"",""weight_management"",""official_source""]","[""Chicken and turkey meal (chicken 10%; total poultry 15%)"",""maize"",""maize protein meal"",""pea bran meal"",""wheat"",""broken rice"",""cellulose"",""digest"",""dried tomato pomace"",""flaxseed"",""animal fat"",""dried beet pulp"",""coconut oil (2.2%)"",""minerals"",""dried carrots""]",317,25.1,11,11.9,0.29,0.12,0.9,0.68,verified,https://www.hillspet.co.uk/dog-food/science-plan-adult-perfect-weight-medium-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; note=Hill's states displayed analytical values may differ slightly from package."
Hill's,Science Plan Medium Breed Adult Dog Food with Chicken,dog,adult,medium,"[""dry"",""medium_breed"",""adult"",""official_source""]","[""wheat"",""maize"",""chicken and turkey meal (chicken 9%; total poultry 14%)"",""broken rice"",""animal fat"",""digest"",""maize protein meal"",""vegetable oil"",""minerals"",""dried beet pulp"",""flaxseed"",""oat bran"",""fructo-oligosaccharides"",""ActivBiome+ Multi Benefit prebiotic blend (0.6%): Oat bran, fructo-oligosaccharides""]",372,21.5,14.9,1.5,0.26,0.084,0.69,0.61,verified,https://www.hillspet.co.uk/dog-food/science-plan-adult-medium-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; note=Hill's states displayed analytical values may differ slightly from package."
Hill's,Science Plan Large Breed Adult Dog Food with Chicken,dog,adult,large,"[""dry"",""large_breed"",""adult"",""joint_support"",""official_source""]","[""maize"",""wheat"",""chicken and turkey meal (chicken 10%; total poultry 15%)"",""animal fat"",""broken rice"",""digest"",""maize protein meal"",""soybean meal"",""vegetable oil"",""dried beet pulp"",""minerals"",""flaxseed"",""oat bran"",""fructo-oligosaccharides"",""pork cartilage (source of chondroitin sulphate)"",""crustacean shell hydrolysate (source of glucosamine)"",""ActivBiome+ Multi Benefit prebiotic blend (0.6%): Oat bran, fructo-oligosaccharides""]",368,23.2,14.4,1.6,0.3,0.102,0.87,0.73,verified,https://www.hillspet.co.uk/dog-food/science-plan-adult-large-breed-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; note=Hill's states displayed analytical values may differ slightly from package."
Hill's,Science Plan Medium Breed Adult Dog Food with Lamb & Rice,dog,adult,medium,"[""dry"",""medium_breed"",""adult"",""lamb"",""official_source""]","[""broken rice (20%)"",""wheat"",""maize"",""soybean meal"",""lamb meal (9%)"",""animal fat"",""maize protein meal"",""vegetable oil"",""digest"",""flaxseed"",""minerals"",""oat bran"",""fructo-oligosaccharides""]",372,21.5,14,1.4,0.23,0.112,0.71,0.64,verified,https://www.hillspet.co.uk/dog-food/science-plan-adult-lamb-rice-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; pack_sizes=14kg; note=Hill's states displayed analytical values may differ slightly from package."
Hill's,Science Plan Light Medium Breed Mature Adult Dog Food with Chicken,dog,senior,medium,"[""dry"",""medium_breed"",""senior"",""weight_management"",""official_source""]","[""maize"",""wheat"",""chicken and turkey meal (chicken 9%; total poultry 15%)"",""cellulose"",""pea bran meal"",""digest"",""animal fat"",""dried beet pulp"",""flaxseed"",""vegetable oil"",""minerals"",""oat bran"",""fructo-oligosaccharides"",""pork cartilage (source of chondroitin sulphate)"",""crustacean shell hydrolysate (source of glucosamine)"",""ActivBiome+ Multi Benefit prebiotic blend (0.6%): Oat bran, fructo-oligosaccharides""]",313,17.5,10.4,12.1,0.24,0.117,0.81,0.59,verified,https://www.hillspet.co.uk/dog-food/science-plan-mature-adult-7-light-medium-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; note=Hill's UK product page."
Hill's,Science Plan Healthy Mobility Large Breed Adult Dog Food with Chicken,dog,adult,large,"[""dry"",""large_breed"",""adult"",""joint_support"",""official_source""]","[""wheat"",""maize"",""chicken and turkey meal (chicken 7%; total poultry 11%)"",""digest"",""animal fat"",""maize protein meal"",""flaxseed"",""fish oil (1.8%)"",""vegetable oil"",""minerals"",""pea bran meal""]",361,19.7,12.9,2.4,0.21,0.102,0.62,0.56,verified,https://www.hillspet.co.uk/dog-food/science-plan-adult-healthy-mobility-large-breed-chicken-dry,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=8; note=Hill's states displayed analytical values may differ slightly from package."
Farmina,N&D Ancestral Grain Chicken & Pomegranate Puppy Mini,dog,young,mini,"[""dry"",""mini_breed"",""puppy"",""growth"",""ancestral_grain"",""official_source""]","[""boneless chicken (20%)"",""dehydrated chicken protein (18%)"",""spelt (10%)"",""oats (10%)"",""chicken fat"",""dried eggs"",""herring"",""dehydrated herring protein"",""dried beet pulp"",""fish oil (from herring)"",""dried carrot"",""alfalfa meal"",""chicken cartilage (source of glucosamine and chondroitin sulphate)"",""inulin"",""fructo-oligosaccharides"",""yeast extract (source of manno-oligo-saccharides)"",""dried pomegranate (0.5%)"",""dried apple"",""dried spinach"",""psyllium husks and seeds (0.3%)"",""dried sweet orange"",""dried blueberry"",""sodium chloride"",""dried brewers' yeast"",""turmeric (0.2%)"",""aloe vera extract""]",418.4,30,20,2.5,,,1.1,0.91,partial,https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html,"market=MT; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=2.5kg; note=Official Farmina Malta page does not publish sodium_percent or magnesium_percent."
Farmina,N&D Pumpkin Chicken and Pomegranate Adult Mini,dog,adult,mini,"[""dry"",""mini_breed"",""adult"",""grain_free"",""pumpkin"",""official_source""]","[""boneless chicken (24%)"",""dehydrated chicken protein (22%)"",""pea starch"",""chicken fat"",""dried pumpkin (5%)"",""dried eggs"",""herring"",""dehydrated herring protein"",""fish oil (from herring)"",""pea fibre"",""dried carrot"",""alfalfa meal"",""inulin"",""fructo-oligosaccharides"",""yeast extract (source of manno-oligo-saccharides)"",""dried pomegranate (0.5%)"",""dried apple"",""dried spinach"",""psyllium husks and seeds (0.3%)"",""dried sweet orange"",""dried blueberry"",""sodium chloride"",""dried brewers' yeast"",""turmeric (0.2%)"",""aloe vera extract"",""glucosamine"",""chondroitin sulphate""]",399,30,18,2.9,,,0.9,0.8,partial,https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html,"market=MT; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=800g|2.5kg|7kg; note=Official Farmina Malta page does not publish sodium_percent or magnesium_percent."
Farmina,Vet Life Renal Canine,dog,adult,all,"[""dry"",""veterinary"",""renal"",""kidney_support"",""official_source""]","[""sweet potato"",""rice"",""chicken fat"",""dried eggs"",""calcium carbonate"",""linseed"",""fish oil"",""hydrolysed fish protein"",""sodium chloride"",""potassium chloride""]",393.5,13.3,15,1.4,0.15,0.08,0.6,0.25,verified,https://www.farmina.com/mt/eshop/dog-food/farmina-vet-life-canine/69-renal-canine.html,"market=MT; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=2kg|12kg; note=Official Farmina Malta veterinary diet page."
Virbac,Veterinary HPM Adult Entire Large & Medium,dog,adult,all,"[""dry"",""medium_breed"",""large_breed"",""adult"",""high_protein"",""official_source""]","[""dehydrated pork and poultry proteins"",""rice (min. 4%)"",""animal fats"",""peas"",""hydrolysed pork and poultry proteins"",""potato starch (min. 4%)"",""lignocellulose"",""faba bean hulls"",""linseed"",""minerals"",""beet pulp"",""psyllium fibre (Plantago spp.)"",""fructo-oligosaccharides"",""brewers yeast (source of betaglucan)"",""hydrolysed crustacean (source of chitosan)"",""Lactobacillus acidophilus"",""chondroitin sulphate""]",370,34,17,5,0.5,,1.3,1.1,partial,https://uk.virbac.com/products/petfood/adult-neutered-dog-food-large,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=3kg|7kg|12kg; note=Official Virbac UK page does not publish magnesium_percent."
Virbac,Veterinary HPM Puppy Large & Medium,dog,young,all,"[""dry"",""medium_breed"",""large_breed"",""puppy"",""growth"",""high_protein"",""official_source""]","[""dehydrated pork and poultry proteins"",""rice (min. 4%)"",""animal fats"",""peas"",""potato starch (min. 4%)"",""hydrolysed pork and poultry proteins"",""lignocellulose"",""minerals"",""faba bean hulls"",""beet pulp"",""linseed"",""fish oil"",""brewers yeast (source of betaglucan)"",""psyllium fibre (Plantago spp.)"",""fructo-oligosaccharides"",""Lactobacillus acidophilus"",""chondroitin sulphate""]",396,35,21,4,0.5,,1.2,1,partial,https://checkout.uk.virbac.com/products/puppy-large-medium-dry-puppy-food-for-medium-large-breeds,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; note=Official Virbac UK page does not publish magnesium_percent."
Virbac,Veterinary HPM Adult Sensitive Neutered Large & Medium,dog,adult,all,"[""dry"",""medium_breed"",""large_breed"",""adult"",""neutered"",""sensitive_digestion"",""official_source""]","[""rice"",""dehydrated pork and poultry proteins"",""lignocellulose"",""poultry fats"",""hydrolysed pork and poultry proteins"",""minerals"",""dried beet pulp"",""linseed"",""fructo-oligosaccharides"",""psyllium fibre (Plantago spp.)"",""inactivated brewer's yeast"",""yucca schidigera"",""inactivated Lactobacillus helveticus""]",338,29,14,7.5,0.4,,1.3,1,partial,https://uk.virbac.com/products/adult-sensitive-neutered-dog-food-for-medium-large-breeds,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=3kg|12kg; note=Official Virbac UK page does not publish magnesium_percent."
Virbac,Veterinary HPM Senior Entire Large & Medium,dog,senior,all,"[""dry"",""medium_breed"",""large_breed"",""senior"",""renal_support"",""joint_support"",""official_source""]","[""dehydrated pork and poultry proteins"",""rice"",""lignocellulose"",""hydrolysed pork and poultry proteins"",""poultry fats"",""peas"",""pea fiber"",""minerals"",""dried beet pulp"",""linseed"",""fish oil"",""fructo-oligosaccharides"",""psyllium fibre (Plantago spp.)"",""inactivated brewer's yeast"",""egg membrane"",""hyaluronic acid from fermentation"",""inactivated Lactobacillus helveticus""]",327,32,14,9.5,0.4,,1.1,0.7,partial,https://uk.virbac.com/products/senior-entire-dry-dog-food-for-medium-large-breeds,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=3kg|12kg; note=Official Virbac UK page does not publish magnesium_percent."
Virbac,Veterinary HPM Adult Neutered Large & Medium,dog,adult,all,"[""dry"",""medium_breed"",""large_breed"",""adult"",""neutered"",""weight_management"",""official_source""]","[""dehydrated pork and poultry proteins"",""rice"",""lignocellulose"",""hydrolysed pork and poultry proteins"",""peas"",""poultry fats"",""pea fiber"",""linseed"",""minerals"",""dried beet pulp"",""fructo-oligosaccharides"",""psyllium fibre (Plantago spp.)"",""inactivated brewer's yeast"",""inactivated Lactobacillus helveticus""]",315,34,13.5,10.5,0.5,,1.3,1,partial,https://uk.virbac.com/products/adult-neutered-large-medium-dog-food-for-medium-large-breeds?category=94,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; note=Official Virbac UK page does not publish magnesium_percent."
Virbac,Veterinary HPM Junior Medium,dog,young,medium,"[""dry"",""medium_breed"",""junior"",""growth"",""high_protein"",""official_source""]","[""dehydrated pork and poultry protein"",""rice (min. 7%)"",""animal fat"",""whole pea"",""potato starch (min. 4%)"",""hydrolysed animal protein"",""lignocellulose"",""beet pulp"",""field bean hulls"",""mineral salts"",""linseed"",""fish oil"",""fructo-oligosaccharides"",""psyllium fibre"",""pasteurised Lactobacillus acidophilus""]",384,35,19,4.5,0.5,,1.2,1,partial,https://store.uk.virbac.com/dog-junior-medium-breed-diet,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=3kg|12kg; note=Official Virbac UK web store page does not publish magnesium_percent."
Royal Canin,Mini Adult,dog,adult,mini,"[""dry"",""mini_breed"",""adult"",""official_source"",""needs_mineral_backfill""]","[""wheat flour"",""dehydrated poultry proteins"",""maize flour"",""animal fats"",""hydrolysed animal proteins"",""dehydrated pork proteins"",""maize"",""barley"",""maize gluten"",""wheat"",""minerals"",""beet pulp"",""soya oil"",""yeasts products"",""fructo-oligosaccharides"",""fish oil"",""algal oil Schizochytrium sp.""]",391.2,27,16,1.4,,,,,needs_review,https://www.royalcanin.com/uk/dogs/products/retail-products/mini-adult-3001,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=2kg|4kg|8kg; note=Official Royal Canin UK page lacks calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
Royal Canin,Maxi Adult 5+,dog,senior,large,"[""dry"",""large_breed"",""senior"",""adult_5_plus"",""official_source"",""needs_mineral_backfill""]","[""dehydrated poultry proteins"",""animal fats"",""maize"",""wheat"",""wheat flour"",""maize flour"",""barley"",""maize gluten"",""wheat gluten"",""hydrolysed animal proteins"",""beet pulp"",""minerals"",""fish oil"",""soya oil"",""yeasts products"",""psyllium husks and seeds"",""fructo-oligosaccharides"",""algal oil Schizochytrium sp."",""glucosamine from fermentation"",""hydrolysed cartilage (source of chondroitin)""]",,26,17,1.6,,,,,needs_review,https://www.royalcanin.com/uk/dogs/products/retail-products/maxi-adult-5%2B-3008,"market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=15kg; note=Official Royal Canin UK page lacks kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
