priority,issue_type,species,format,source_priority,current_formula_name,current_display_name,suggested_formula_name,suggested_display_name,product_form_risk,cleanup_decision,source_url,formula_key,suggested_action
138,formula_name_starts_with_brand,dog,dry,official,Josera DENTIES WITH DUCK & CARROT,Josera DENTIES WITH DUCK & CARROT,Denties with Duck & Carrot,Josera Denties with Duck & Carrot,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/denties-duck-carrot,josera_dog_products_sitemap|https://josera.com/en/product/denties-duck-carrot,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera DENTIES WITH POULTRY & BLUEBERRY,Josera DENTIES WITH POULTRY & BLUEBERRY,Denties with Poultry & Blueberry,Josera Denties with Poultry & Blueberry,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/denties-poultry-blueberry,josera_dog_products_sitemap|https://josera.com/en/product/denties-poultry-blueberry,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera DENTIES WITH TURKEY & APPLE,Josera DENTIES WITH TURKEY & APPLE,Denties with Turkey & Apple,Josera Denties with Turkey & Apple,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/denties-turkey-apple,josera_dog_products_sitemap|https://josera.com/en/product/denties-turkey-apple,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera KNUSPIES,Josera KNUSPIES,Knuspies,Josera Knuspies,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/knuspies,josera_dog_products_sitemap|https://josera.com/en/product/knuspies,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera LOOPIES WITH BEEF,Josera LOOPIES WITH BEEF,Loopies with Beef,Josera Loopies with Beef,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/loopies-beef,josera_dog_products_sitemap|https://josera.com/en/product/loopies-beef,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera LOOPIES WITH LAMB,Josera LOOPIES WITH LAMB,Loopies with Lamb,Josera Loopies with Lamb,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/loopies-lamb,josera_dog_products_sitemap|https://josera.com/en/product/loopies-lamb,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera LOOPIES WITH POULTRY,Josera LOOPIES WITH POULTRY,Loopies with Poultry,Josera Loopies with Poultry,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/loopies-poultry,josera_dog_products_sitemap|https://josera.com/en/product/loopies-poultry,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera MEAT BITES MINI BEEF,Josera MEAT BITES MINI BEEF,Meat Bites Mini Beef,Josera Meat Bites Mini Beef,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/meat-bites-mini-beef,josera_dog_products_sitemap|https://josera.com/en/product/meat-bites-mini-beef,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera MEAT BITES MINI CHICKEN,Josera MEAT BITES MINI CHICKEN,Meat Bites Mini Chicken,Josera Meat Bites Mini Chicken,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/meat-bites-mini-chicken,josera_dog_products_sitemap|https://josera.com/en/product/meat-bites-mini-chicken,Remove duplicated brand from formula_name; display_name should carry the brand.
138,formula_name_starts_with_brand,dog,dry,official,Josera MEAT BITES MINI TURKEY,Josera MEAT BITES MINI TURKEY,Meat Bites Mini Turkey,Josera Meat Bites Mini Turkey,possible_treat_or_snack,Hold from dry-food recommendations until product form is verified as complete dry food or treat.,https://josera.com/en/product/meat-bites-mini-turkey,josera_dog_products_sitemap|https://josera.com/en/product/meat-bites-mini-turkey,Remove duplicated brand from formula_name; display_name should carry the brand.
