formula_key,brand,formula_name,species,format,status,source_file,extracted_fields,missing_fields,recommended_action,notes
monge-bwild-bwild-grain-free-adult-codfish-with-potatoes-and-lentils-cat-dry-eu-pdf,Monge BWild,BWild Grain Free Adult Codfish With Potatoes and Lentils,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Adult-Cat-Codfish-with-po-tatoes-and-lentils.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Adult-Cat-Codfish-with-po-tatoes-and-lentils.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=30.1; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-grain-free-adult-salmon-with-peas-cat-dry-eu-pdf,Monge BWild,BWild Grain Free Adult Salmon With Peas,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Adult-Cat-Salmon-with-peas.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Adult-Cat-Salmon-with-peas.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=32.7; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-grain-free-large-breed-all-life-stage-buffalo-with-potatoes-and-lentils-cat-dry-eu-pdf,Monge BWild,BWild Grain Free Large Breed All Life Stage Buffalo With Potatoes and Lentils,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Cat-Large-Breed-All-Life-Sta-ge-Buffalo-with-potatoes-and-lentils.pdf,brand|formula_name|display_name|species|format|life_stage|breed_target|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Cat-Large-Breed-All-Life-Sta-ge-Buffalo-with-potatoes-and-lentils.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=29; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-grain-free-sterilised-tuna-with-peas-cat-dry-eu-pdf,Monge BWild,BWild Grain Free Sterilised Tuna With Peas,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Sterilised-Cat-Tuna-with-peas-1.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Grain-Free-Formula-Sterilised-Cat-Tuna-with-peas-1.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=32.5; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-low-grain-adult-anchovies-cat-dry-eu-pdf,Monge BWild,BWild Low Grain Adult Anchovies,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Low-Grain-Adult-Cat-Anchovies-1.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Low-Grain-Adult-Cat-Anchovies-1.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=29.5; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-low-grain-adult-hare-cat-dry-eu-pdf,Monge BWild,BWild Low Grain Adult Hare,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Low-Grain-Adult-Cat-Hare.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Low-Grain-Adult-Cat-Hare.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=27.5; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-low-grain-kitten-goose-cat-dry-eu-pdf,Monge BWild,BWild Low Grain Kitten Goose,cat,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Low-Grain-Kitten-Goose.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/BWild-Low-Grain-Kitten-Goose.pdf; human_qa_required_before_recommendation=true
gemon-adult-urinary-with-chicken-and-rice-cat-dry-eu-pdf,Gemon,Adult Urinary with Chicken and Rice,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-adult-cat-urinary-with-chicken-and-rice-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|potassium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-adult-cat-urinary-with-chicken-and-rice-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=32.3; default_moisture_percent=10; kcal_estimation_confidence=medium
gemon-adult-with-chicken-and-turkey-cat-dry-eu-pdf,Gemon,Adult with Chicken and Turkey,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-adult-cat-with-chicken-and-turkey-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-adult-cat-with-chicken-and-turkey-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=34; default_moisture_percent=10; kcal_estimation_confidence=medium
gemon-adult-with-pork-and-rice-cat-dry-eu-pdf,Gemon,Adult with Pork and Rice,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-adult-cat-with-pork-and-rice-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-adult-cat-with-pork-and-rice-ENG.pdf; human_qa_required_before_recommendation=true
