brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Μήλο,Schesir Fruit Adult Dog με Κοτόπουλο & Μήλο,dog,wet,adult,all,,,dog;wet;chicken;rice,"Φιλετάκια κοτόπουλου 62,2%, μήλο 4%, ρύζι 2%","[""Φιλετάκια κοτόπουλου 62,2%"",""μήλο 4%"",""ρύζι 2%""]",,,,,,,,,11,0.5,0.1,1.5,84,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011006; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-μηλο-dog-wet-gr-ods,
Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Παπάγια,Schesir Fruit Adult Dog με Κοτόπουλο & Παπάγια,dog,wet,adult,all,,,dog;wet;chicken;rice,"Φιλετάκια κοτόπουλου 62,2%, παπάγια 4%, ρύζι 2%","[""Φιλετάκια κοτόπουλου 62,2%"",""παπάγια 4%"",""ρύζι 2%""]",,,,,,,,,11,0.5,0.1,1.5,84,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011000; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-παπαγια-dog-wet-gr-ods,
Schesir,Schesir Adult Dog με Κοτόπουλο & Αλόη σε Ζελέ,Schesir Adult Dog με Κοτόπουλο & Αλόη σε Ζελέ,dog,wet,adult,all,,,dog;wet;chicken;rice,"Φιλετάκια κοτόπουλου 51%, αλόη 4,7%, ρύζι 1,5%","[""Φιλετάκια κοτόπουλου 51%"",""αλόη 4,7%"",""ρύζι 1,5%""]",,,,,"Βιτ. A 1650 UI, βιτ. E 10 mg Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,,,10.5,1,0.1,1,86,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011002; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Adult Dog με Τόνο σε Ζελέ,Schesir Adult Dog με Τόνο σε Ζελέ,dog,wet,adult,all,,,dog;wet;tuna;rice,"Τόνος 51%, ρύζι 1,5%","[""Τόνος 51%"",""ρύζι 1,5%""]",,,,,"Βιτ. A 2000 UI, βιτ. E 10 mg Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,,,12,1.5,0.1,1,85,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011008; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-με-τονο-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο & Μοσχάρι σε Ζελέ,Schesir Adult Dog με φιλέτο Κοτόπουλο & Μοσχάρι σε Ζελέ,dog,wet,adult,all,,,dog;wet;chicken;beef;rice,"φιλετάκια κοτόπουλο (58%), φιλετάκια μοσχάρι (4%), ρύζι (1,5%).","[""φιλετάκια κοτόπουλο (58%)"",""φιλετάκια μοσχάρι (4%)"",""ρύζι (1,5%)""]",φιλετάκια μοσχάρι (4%),,,,"Φυσιολογικά διατροφικά πρόσθετα: βιταμίνη A (1.650 IE/kg), βιταμίνη D3 (180IE/kg), βιταμίνη E [α-τοκοφερόλη] (10 mg/kg). Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,64,640,13,2,0.1,2,83,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011003; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-μοσχαρι-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο & Προσούτο σε Ζελέ,Schesir Adult Dog με φιλέτο Κοτόπουλο & Προσούτο σε Ζελέ,dog,wet,adult,all,,,dog;wet;chicken;rice,"κοτόπουλο (61%), ζαμπόν (4%), ρύζι (1,5%).","[""κοτόπουλο (61%)"",""ζαμπόν (4%)"",""ρύζι (1,5%)""]",,,,,"Φυσιολογικά διατροφικά πρόσθετα: βιταμίνη A (1.650 IE/kg), βιταμίνη D3 (180IE/kg), βιταμίνη E [α-τοκοφερόλη] (10 mg/kg). Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,64,640,13,2,0.1,2,83,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011005; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-προσουτο-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Adult Dog με φιλέτο Κοτόπουλο σε Ζελέ,Schesir Adult Dog με φιλέτο Κοτόπουλο σε Ζελέ,dog,wet,adult,all,,,dog;wet;chicken;beef;rice,"φιλετάκια κοτόπουλο (68%), φιλετάκια μοσχάρι (4%), ρύζι (1,5%).","[""φιλετάκια κοτόπουλο (68%)"",""φιλετάκια μοσχάρι (4%)"",""ρύζι (1,5%)""]",φιλετάκια μοσχάρι (4%),,,,"Φυσιολογικά διατροφικά πρόσθετα: βιταμίνη A (1.650 IE/kg), βιταμίνη D3 (180IE/kg), βιταμίνη E [α-τοκοφερόλη] (10 mg/kg). Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,64,640,13,2,0.1,2,83,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011004; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-adult-dog-με-φιλετο-κοτοπουλο-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,dog,wet,puppy,all,,,dog;wet;puppy;chicken,"Φιλετάκια κοτόπουλου 51%, αλόη 4,7%, φυτική ζελατίνη.","[""Φιλετάκια κοτόπουλου 51%"",""αλόη 4,7%"",""φυτική ζελατίνη""]",,,,,"Βιτ. A 1650 U.I., βιτ. D3 180 U.I., βιτ. E 10 mg. Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,,,10.5,1,0.1,,86,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011001; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-puppy-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,dog,wet,puppy,all,,,dog;wet;puppy;tuna;rice,"Τόνος 50%, αλόη 5%, ρύζι 3%, ηλιέλαιο 1,5%, φυτική ζελατίνη, μεταλλικά στοιχεία","[""Τόνος 50%"",""αλόη 5%"",""ρύζι 3%"",""ηλιέλαιο 1,5%"",""φυτική ζελατίνη"",""μεταλλικά στοιχεία""]",,,,,"βιτ. A 2000 U.I., βιτ. D3 200 U.I., βιτ. E 10 mg, επταένυδρος θειικός ψευδάργυρος 78 mg, ένυδρος θειικός υποσίδηρος 5 mg, ένυδρο θειικό μαγγάνιο 5 mg, ιωδιούχο κάλιο 11 mg, πενταένυδρος θειικός χαλκός 5 mg Ικανοποίησε όλες τις ανάγκες που έχει ο φιλαράκος σου. Ποιότητα και οικονομία για να μείνεις ενωμένος με το κατοικίδιο σου!",,,,13,2,0.1,1,82,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011007; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-puppy-με-τονο-αλοη-σε-ζελε-dog-wet-gr-ods,
Schesir,Schesir Fruit Adult Dog με Κοτόπουλο & Ανανά,Schesir Fruit Adult Dog με Κοτόπουλο & Ανανά,dog,wet,adult,all,,,dog;wet;chicken;rice,"Φιλετάκια κοτόπουλου 62,2%, ανανάς 4%, ρύζι 2%","[""Φιλετάκια κοτόπουλου 62,2%"",""ανανάς 4%"",""ρύζι 2%""]",,,,,,,,,11,0.5,0.1,1.5,84,,,,,,,,,,,,,,,,,,,,,,,needs_review,,unknown,market=GR; basis=as-fed; source_tier=uploaded_ods; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Schesir - Gheda Marketplace.ods; source_sheet=ΣΚΥΛΟΣ; source_code=011037; formula_level_dedupe=true; official_url_required=true; Auto-extracted from Schesir/Gheda Marketplace ODS; verify against official source or label before import.; duplicate_blocks_skipped=0,schesir-schesir-fruit-adult-dog-με-κοτοπουλο-ανανα-dog-wet-gr-ods,
