formula_key,brand,formula_name,species,status,missing_fields,source_document,recommended_action,notes
josera-josera-sensicat-poultry-cat-dry,Josera,JOSERA SENSICAT POULTRY,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-culinese-poultry-cat-dry,Josera,JOSERA CULINESE POULTRY,cat,needs_review,data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-leger-sterilised-poultry-cat-dry,Josera,JOSERA LEGER STERILISED POULTRY,cat,needs_review,data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-kitten-grain-free-poultry-and-salmon-oil-cat-dry,Josera,JOSERA KITTEN GRAIN FREE POULTRY & SALMON OIL,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-senior-renal-cat-dry,Josera,JOSERA SENIOR RENAL,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: JOSERA SENIOR RENAL
josera-josera-josicat-classic-sterilised-cat-dry,Josera,JOSERA JOSICAT CLASSIC STERILISED,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-dailycat-cat-dry,Josera,JOSERA DAILYCAT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-dailycat-grain-free-poultry-cat-dry,Josera,JOSERA DAILYCAT GRAIN FREE POULTRY,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-kitten-με-λαδι-σολομου-cat-dry,Josera,JOSERA KITTEN ΜΕ ΛΑΔΙ ΣΟΛΟΜΟΥ,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-marinese-hypoallergenic-grain-free-salmon-monoprotein-cat-dry,Josera,JOSERA MARINESE HYPOALLERGENIC GRAIN FREE SALMON monoprotein,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-catelux-duck-and-poultry-cat-dry,Josera,JOSERA CATELUX DUCK & POULTRY,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-naturecat-grain-free-poultry-and-s-almon-cat-dry,Josera,JOSERA NATURECAT GRAIN FREE POULTRY &S ALMON,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
josera-josera-naturelle-sterilised-trout-cat-dry,Josera,JOSERA NATURELLE STERILISED TROUT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-sensitivity-control-dog-dry,Royal Canin,ROYAL VHN SENSITIVITY CONTROL,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-gastro-intestinal-puppy-dog-dog-dry,Royal Canin,ROYAL GASTRO INTESTINAL PUPPY DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-gastro-intestinal-dog-dog-dry,Royal Canin,ROYAL VHN GASTRO INTESTINAL DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VHN GASTRO INTESTINAL DOG
royal-canin-royal-vdiet-satiety-small-dog-dog-dry,Royal Canin,ROYAL VDIET SATIETY SMALL DOG,dog,needs_review,data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
